t_ms,thr,str,mix_L,mix_R,tgt_L_hz,tgt_R_hz,meas_L_hz,meas_R_hz,duty_L,duty_R,int_L,int_R,freqdet_L_hz,freqdet_R_hz
144705.0,0.0,0.0,0.0,0.0,0.0,0.0,94.5,98.4,0.0,0.0,0.0,0.0,0.0,0.0
144709.0,0.0,0.0,0.0,0.0,0.0,0.0,94.5,98.4,0.0,0.0,0.0,0.0,0.0,0.0
144712.0,0.0,0.0,0.0,0.0,0.0,0.0,94.5,98.4,0.0,0.0,0.0,0.0,0.0,0.0
144714.0,0.0,0.0,0.0,0.0,0.0,0.0,94.5,98.4,0.0,0.0,0.0,0.0,0.0,0.0
144717.0,0.0,0.0,0.0,0.0,0.0,0.0,94.5,98.4,0.0,0.0,0.0,0.0,0.0,0.0
144720.0,0.0,0.0,0.0,0.0,0.0,0.0,94.5,98.4,0.0,0.0,0.0,0.0,0.0,0.0
144722.0,0.0,0.0,0.0,0.0,0.0,0.0,94.5,98.4,0.0,0.0,0.0,0.0,0.0,0.0
144725.0,0.0,0.0,0.0,0.0,0.0,0.0,94.5,98.4,0.0,0.0,0.0,0.0,0.0,0.0
144727.0,0.0,0.0,0.0,0.0,0.0,0.0,94.5,98.4,0.0,0.0,0.0,0.0,0.0,0.0
144730.0,0.0,0.0,0.0,0.0,0.0,0.0,94.5,98.4,0.0,0.0,0.0,0.0,0.0,0.0
144733.0,0.0,0.0,0.0,0.0,0.0,0.0,94.5,98.4,0.0,0.0,0.0,0.0,0.0,0.0
144735.0,0.0,0.0,0.0,0.0,0.0,0.0,94.5,98.4,0.0,0.0,0.0,0.0,0.0,0.0
144738.0,0.0,0.0,0.0,0.0,0.0,0.0,94.5,98.4,0.0,0.0,0.0,0.0,0.0,0.0
144740.0,0.0,0.0,0.0,0.0,0.0,0.0,94.5,98.4,0.0,0.0,0.0,0.0,0.0,0.0
144743.0,0.0,0.0,0.0,0.0,0.0,0.0,94.5,98.4,0.0,0.0,0.0,0.0,0.0,0.0
144746.0,0.0,0.0,0.0,0.0,0.0,0.0,94.5,98.4,0.0,0.0,0.0,0.0,0.0,0.0
144748.0,0.0,0.0,0.0,0.0,0.0,0.0,94.5,98.4,0.0,0.0,0.0,0.0,0.0,0.0
144753.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,88.6,0.0,0.0,0.0,0.0,0.0,0.0
144756.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,88.6,0.0,0.0,0.0,0.0,0.0,0.0
144759.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,88.6,0.0,0.0,0.0,0.0,0.0,0.0
144762.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,88.6,0.0,0.0,0.0,0.0,0.0,0.0
144764.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,88.6,0.0,0.0,0.0,0.0,0.0,0.0
144767.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,88.6,0.0,0.0,0.0,0.0,0.0,0.0
144769.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,88.6,0.0,0.0,0.0,0.0,0.0,0.0
144772.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,88.6,0.0,0.0,0.0,0.0,0.0,0.0
144775.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,88.6,0.0,0.0,0.0,0.0,0.0,0.0
144777.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,88.6,0.0,0.0,0.0,0.0,0.0,0.0
144780.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,88.6,0.0,0.0,0.0,0.0,0.0,0.0
144783.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,88.6,0.0,0.0,0.0,0.0,0.0,0.0
144785.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,88.6,0.0,0.0,0.0,0.0,0.0,0.0
144788.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,88.6,0.0,0.0,0.0,0.0,0.0,0.0
144791.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,88.6,0.0,0.0,0.0,0.0,0.0,0.0
