t_ms,thr,str,mix_L,mix_R,tgt_L_hz,tgt_R_hz,meas_L_hz,meas_R_hz,duty_L,duty_R,int_L,int_R,freqdet_L_hz,freqdet_R_hz,zc_blocks_L,zc_blocks_R,zc_cross_L,zc_cross_R,zc_pkpk_L,zc_pkpk_R,zc_std_L,zc_std_R
25454.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25457.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25460.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25462.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25465.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25468.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25470.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25473.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25476.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25478.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25481.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25484.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25487.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25490.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25492.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25495.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25500.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25503.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25506.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25508.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25511.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25514.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25516.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25519.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25522.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25525.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25527.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25530.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25533.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25535.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25538.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25541.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25544.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25546.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25549.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25552.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25555.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25557.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25560.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25563.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25566.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25568.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25571.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25574.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25577.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25579.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25582.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25585.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25589.0,0.0,0.0,0.0,0.0,0.0,0.0,105.6,96.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25593.0,0.0,0.0,0.0,0.0,0.0,0.0,105.6,96.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
