t_ms,thr,str,mix_L,mix_R,tgt_L_hz,tgt_R_hz,meas_L_hz,meas_R_hz,duty_L,duty_R,int_L,int_R,freqdet_L_hz,freqdet_R_hz
137693.0,0.0,0.0,0.0,0.0,0.0,0.0,110.9,104.6,0.0,0.0,0.0,0.0,0.0,0.0
137697.0,0.0,0.0,0.0,0.0,0.0,0.0,110.9,104.6,0.0,0.0,0.0,0.0,0.0,0.0
137701.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,94.2,0.0,0.0,0.0,0.0,0.0,0.0
137705.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,94.2,0.0,0.0,0.0,0.0,0.0,0.0
137707.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,94.2,0.0,0.0,0.0,0.0,0.0,0.0
137710.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,94.2,0.0,0.0,0.0,0.0,0.0,0.0
137713.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,94.2,0.0,0.0,0.0,0.0,0.0,0.0
137715.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,94.2,0.0,0.0,0.0,0.0,0.0,0.0
137718.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,94.2,0.0,0.0,0.0,0.0,0.0,0.0
137721.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,94.2,0.0,0.0,0.0,0.0,0.0,0.0
137723.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,94.2,0.0,0.0,0.0,0.0,0.0,0.0
137726.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,94.2,0.0,0.0,0.0,0.0,0.0,0.0
137729.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,94.2,0.0,0.0,0.0,0.0,0.0,0.0
137731.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,94.2,0.0,0.0,0.0,0.0,0.0,0.0
137734.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,94.2,0.0,0.0,0.0,0.0,0.0,0.0
137737.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,94.2,0.0,0.0,0.0,0.0,0.0,0.0
137739.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,94.2,0.0,0.0,0.0,0.0,0.0,0.0
137742.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,94.2,0.0,0.0,0.0,0.0,0.0,0.0
137745.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,94.2,0.0,0.0,0.0,0.0,0.0,0.0
137747.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,94.2,0.0,0.0,0.0,0.0,0.0,0.0
137750.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,94.2,0.0,0.0,0.0,0.0,0.0,0.0
137753.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,94.2,0.0,0.0,0.0,0.0,0.0,0.0
137755.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,94.2,0.0,0.0,0.0,0.0,0.0,0.0
137758.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,94.2,0.0,0.0,0.0,0.0,0.0,0.0
137760.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,94.2,0.0,0.0,0.0,0.0,0.0,0.0
137763.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,94.2,0.0,0.0,0.0,0.0,0.0,0.0
137766.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,94.2,0.0,0.0,0.0,0.0,0.0,0.0
137768.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,94.2,0.0,0.0,0.0,0.0,0.0,0.0
137771.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,94.2,0.0,0.0,0.0,0.0,0.0,0.0
137774.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,94.2,0.0,0.0,0.0,0.0,0.0,0.0
137776.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,94.2,0.0,0.0,0.0,0.0,0.0,0.0
137779.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,94.2,0.0,0.0,0.0,0.0,0.0,0.0
137782.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,94.2,0.0,0.0,0.0,0.0,0.0,0.0
