t_ms,target_hz,meas_hz,duty_pct,curr_a,err_hz,i_term,p_term
0,350.00,0.00,41.9,0.00,350.00,0.000,0.000
105,382.92,0.00,45.2,21.05,382.92,0.000,0.000
209,414.81,164.06,56.3,16.89,250.75,0.030,0.050
315,445.66,141.50,59.4,20.21,304.16,0.030,0.050
419,473.43,291.96,62.1,17.58,181.47,0.030,0.050
523,497.91,408.88,64.5,16.32,89.03,0.030,0.050
628,518.53,447.37,66.6,15.70,71.16,0.030,0.050
732,534.25,503.35,68.1,15.50,30.90,0.030,0.050
836,544.75,533.82,66.3,15.09,10.93,0.030,0.022
940,549.66,546.38,65.3,11.08,3.28,0.030,0.007
1045,548.69,550.14,64.1,10.22,-1.46,0.029,-0.003
1149,541.80,547.86,61.9,9.77,-6.06,0.022,-0.012
1254,528.97,530.08,61.5,8.47,-1.11,0.021,-0.002
1358,510.74,535.00,52.6,8.87,-24.26,-0.004,-0.049
1462,487.49,512.55,49.5,3.65,-25.06,-0.010,-0.050
1567,459.57,495.56,46.7,3.76,-35.99,-0.010,-0.050
1671,428.32,463.12,43.6,4.04,-34.80,-0.010,-0.050
1776,394.08,426.05,40.3,4.01,-31.96,-0.010,-0.050
1880,358.57,404.67,36.8,3.87,-46.10,-0.010,-0.050
1985,322.24,374.33,33.2,3.71,-52.09,-0.010,-0.050
2089,286.97,348.14,29.7,3.51,-61.17,-0.010,-0.050
2193,253.59,316.36,26.4,3.20,-62.76,-0.010,-0.050
2298,222.98,286.31,23.4,2.96,-63.33,-0.010,-0.050
2402,196.81,249.96,20.8,2.83,-53.15,-0.010,-0.050
2507,175.56,221.96,20.0,3.01,-46.40,-0.010,-0.050
2611,160.45,206.72,20.0,3.84,-46.28,-0.010,-0.050
2716,151.83,174.81,20.0,4.47,-22.98,-0.010,-0.046
2820,150.28,185.74,20.0,4.55,-35.46,-0.010,-0.050
2925,155.96,168.52,20.0,4.38,-12.56,-0.010,-0.025
3029,168.66,159.93,25.7,4.16,8.73,-0.001,0.017
3133,188.06,157.35,33.9,7.53,30.70,0.030,0.050
3237,213.55,194.18,35.3,14.42,19.37,0.030,0.039
3342,244.61,239.41,35.6,9.46,5.21,0.030,0.010
3446,279.56,259.81,41.9,7.50,19.75,0.030,0.039
3550,317.39,293.28,46.5,13.24,24.12,0.030,0.048
3655,357.09,316.99,50.6,14.22,40.10,0.030,0.050
3759,396.35,341.19,54.5,14.76,55.16,0.030,0.050
3863,434.00,386.05,58.2,15.35,47.95,0.030,0.050
3968,468.82,406.34,61.6,15.92,62.48,0.030,0.050
4072,498.67,398.76,64.6,16.33,99.91,0.030,0.050
4176,522.59,451.17,67.0,16.47,71.42,0.030,0.050
4280,539.50,507.91,68.6,15.79,31.59,0.030,0.050
4384,548.56,538.60,66.5,14.81,9.96,0.030,0.020
4489,549.21,554.65,62.9,10.68,-5.43,0.024,-0.011
4593,541.27,552.62,59.8,8.01,-11.36,0.013,-0.023
4697,524.97,548.60,53.5,6.19,-23.63,-0.010,-0.047
4802,500.62,526.88,50.8,3.58,-26.27,-0.010,-0.050
4907,469.29,499.86,47.7,3.86,-30.57,-0.010,-0.050
5011,432.69,474.67,44.1,3.92,-41.98,-0.010,-0.050
5115,392.10,443.18,40.1,3.69,-51.08,-0.010,-0.050
5220,348.92,409.81,35.8,3.21,-60.89,-0.010,-0.050
5324,305.94,382.71,31.6,2.66,-76.77,-0.010,-0.050
5429,264.40,347.23,27.5,2.20,-82.83,-0.010,-0.050
5533,227.12,322.92,23.8,1.79,-95.80,-0.010,-0.050
5638,195.29,278.03,20.6,1.48,-82.74,-0.010,-0.050
5742,171.17,247.47,20.0,1.81,-76.30,-0.010,-0.050
5846,155.78,210.96,20.0,3.52,-55.18,-0.010,-0.050
5951,150.02,189.75,20.0,4.26,-39.73,-0.010,-0.050
6055,154.48,224.41,20.0,4.50,-69.92,-0.010,-0.050
6160,169.21,183.53,20.2,4.37,-14.32,-0.010,-0.029
6264,193.34,184.94,28.0,4.12,8.40,-0.001,0.017
6368,225.87,168.28,37.7,9.68,57.59,0.030,0.050
6473,265.62,176.95,41.6,16.37,88.67,0.030,0.050
6577,309.82,265.00,45.9,13.55,44.82,0.030,0.050
6682,356.94,308.50,50.6,14.11,48.43,0.030,0.050
6786,403.52,342.06,55.2,15.41,61.46,0.030,0.050
6890,447.39,358.97,59.5,16.42,88.42,0.030,0.050
6994,486.00,411.89,63.3,17.19,74.11,0.030,0.050
7099,517.29,431.18,66.4,17.54,86.11,0.030,0.050
7203,538.70,471.15,68.5,17.09,67.55,0.030,0.050
7307,549.12,520.74,69.6,16.06,28.38,0.030,0.050
7411,547.72,556.12,61.9,14.55,-8.41,0.021,-0.017
7516,534.17,559.90,54.6,6.57,-25.74,-0.005,-0.050
7620,509.33,537.11,51.6,3.05,-27.78,-0.010,-0.050
7725,474.07,502.93,48.2,3.46,-28.86,-0.010,-0.050
7829,431.09,482.42,43.9,3.38,-51.33,-0.010,-0.050
7934,382.19,445.51,39.1,2.94,-63.32,-0.010,-0.050
8038,331.35,417.34,34.1,1.98,-85.99,-0.010,-0.050
8142,281.41,371.30,29.1,1.06,-89.89,-0.010,-0.050
8247,235.27,336.98,24.6,0.69,-101.70,-0.010,-0.050
8351,197.00,299.33,20.8,0.39,-102.33,-0.010,-0.050
8456,168.66,243.61,20.0,0.65,-74.95,-0.010,-0.050
8560,152.95,213.22,20.0,3.04,-60.27,-0.010,-0.050
8664,150.87,190.43,20.0,4.02,-39.56,-0.010,-0.050
8769,163.04,183.59,20.0,4.44,-20.55,-0.010,-0.041
8873,188.63,167.87,31.3,4.36,20.75,0.011,0.042
8977,226.09,183.66,37.7,12.61,42.43,0.030,0.050
9082,273.40,212.33,42.4,14.23,61.08,0.030,0.050
9186,326.32,255.10,47.6,13.71,71.22,0.030,0.050
9290,381.38,312.37,53.0,15.25,69.01,0.030,0.050
9395,434.88,326.13,58.3,16.82,108.75,0.030,0.050
9499,481.62,347.35,62.9,18.01,134.27,0.030,0.050
9603,518.32,398.15,66.5,18.29,120.17,0.030,0.050
9707,541.84,437.32,68.9,17.90,104.52,0.030,0.050
9812,550.00,510.59,69.7,16.67,39.41,0.030,0.050
9916,541.67,546.24,62.5,14.31,-4.58,0.025,-0.009
10020,517.35,539.85,54.2,6.65,-22.50,0.002,-0.045
10125,478.33,531.10,48.6,2.39,-52.76,-0.010,-0.050
10229,428.40,497.71,43.7,0.83,-69.31,-0.010,-0.050
10334,370.76,470.60,38.0,0.54,-99.84,-0.010,-0.050
10438,311.43,428.29,32.1,-0.25,-116.86,-0.010,-0.050
10543,254.62,378.00,26.5,-0.84,-123.37,-0.010,-0.050
10647,206.61,332.15,21.8,-0.97,-125.54,-0.010,-0.050
10751,171.41,270.54,20.0,-0.58,-99.13,-0.010,-0.050
10856,152.47,224.72,20.0,1.85,-72.25,-0.010,-0.050
10960,152.29,200.72,20.0,3.66,-48.43,-0.010,-0.050
11065,171.28,186.68,20.2,4.30,-15.40,-0.010,-0.031
11169,207.65,206.39,27.2,4.36,1.26,-0.009,0.003
11273,258.29,184.97,40.9,7.57,73.32,0.030,0.050
11378,319.04,158.03,46.9,18.54,161.01,0.030,0.050
11482,382.81,218.31,53.2,17.10,164.50,0.030,0.050
11586,443.66,267.15,59.2,17.93,176.51,0.030,0.050
11691,495.61,302.31,64.3,18.62,193.29,0.030,0.050
11795,531.96,333.37,67.9,18.90,198.59,0.030,0.050
11899,549.04,428.14,69.6,18.24,120.90,0.030,0.050
12003,544.55,518.09,69.1,15.89,26.46,0.030,0.050
12108,518.17,565.58,52.5,12.31,-47.41,-0.010,-0.050
12212,472.88,528.56,48.0,-0.81,-55.69,-0.010,-0.050
12317,412.64,493.53,42.1,-0.44,-80.89,-0.010,-0.050
12421,345.24,459.09,35.4,-0.97,-113.86,-0.010,-0.050
12525,277.91,373.57,28.8,-1.83,-95.66,-0.010,-0.050
12630,218.17,347.91,22.9,-1.98,-129.74,-0.010,-0.050
12734,174.57,275.27,20.0,-1.64,-100.71,-0.010,-0.050
12839,152.09,246.64,20.0,0.44,-94.56,-0.010,-0.050
12943,154.44,214.13,20.0,3.37,-59.69,-0.010,-0.050
13048,181.95,190.70,22.6,4.11,-8.76,-0.010,-0.018
13152,231.11,234.95,28.4,4.18,-3.83,-0.010,-0.008
13257,296.84,193.53,44.7,8.08,103.31,0.030,0.050
13361,369.55,157.18,51.8,19.70,212.37,0.030,0.050
13465,440.16,207.80,58.8,18.92,232.36,0.030,0.050
13569,498.97,240.07,64.6,19.40,258.90,0.030,0.050
13674,537.79,277.10,68.5,19.58,260.69,0.030,0.050
13778,549.92,356.57,69.7,18.81,193.36,0.030,0.050
13882,533.50,493.20,68.0,15.63,40.30,0.030,0.050
13987,489.70,547.86,49.7,11.23,-58.16,-0.010,-0.050
14091,425.20,489.07,43.3,-3.59,-63.87,-0.010,-0.050
14196,348.15,450.92,35.7,-3.03,-102.77,-0.010,-0.050
14300,271.49,381.37,28.2,-3.21,-109.88,-0.010,-0.050
14404,206.43,309.24,21.7,-2.76,-102.81,-0.010,-0.050
14509,163.22,246.58,20.0,-1.92,-83.36,-0.010,-0.050
14613,150.15,214.11,20.0,1.16,-63.96,-0.010,-0.050
14718,169.86,207.79,20.0,3.44,-37.92,-0.010,-0.050
14822,219.52,195.64,35.3,4.11,23.89,0.014,0.048
14927,292.29,195.41,44.2,15.11,96.88,0.030,0.050
15031,374.90,209.01,52.4,17.55,165.88,0.030,0.050
15135,453.82,202.84,60.2,18.87,250.98,0.030,0.050
15239,515.02,204.41,66.2,19.84,310.61,0.030,0.050
15343,547.04,221.97,69.4,19.86,325.07,0.030,0.050
15448,543.09,350.28,69.0,18.54,192.81,0.030,0.050
15552,503.09,504.99,59.5,13.22,-1.90,0.028,-0.004
15656,433.84,541.14,44.2,4.72,-107.30,-0.010,-0.050
15761,347.07,394.77,35.6,-4.97,-47.69,-0.010,-0.050
15865,260.95,306.42,27.1,-4.21,-45.47,-0.010,-0.050
15970,191.31,238.90,20.2,-3.25,-47.59,-0.010,-0.050
16074,153.98,242.57,20.0,-2.05,-88.59,-0.010,-0.050
16179,156.89,209.49,20.0,2.22,-52.60,-0.010,-0.050
16283,200.43,189.31,29.5,3.63,11.11,0.001,0.022
16387,276.17,196.93,42.6,7.97,79.24,0.030,0.050
16492,369.43,161.62,51.8,18.53,207.81,0.030,0.050
16596,458.33,178.37,60.6,19.35,279.96,0.030,0.050
16700,523.65,166.30,67.1,20.21,357.35,0.030,0.050
16804,549.87,190.03,69.6,20.16,359.85,0.030,0.050
16909,529.46,371.46,67.6,18.12,158.00,0.030,0.050
17013,466.40,507.92,47.4,11.27,-41.53,-0.010,-0.050
17117,374.79,415.56,38.4,-4.68,-40.77,-0.010,-0.050
17222,275.44,329.75,28.6,-4.80,-54.31,-0.010,-0.050
17326,194.82,280.08,20.6,-3.86,-85.26,-0.010,-0.050
17431,152.78,227.58,20.0,-2.50,-74.80,-0.010,-0.050
17535,162.03,225.50,20.0,1.58,-63.47,-0.010,-0.050
17640,221.63,207.79,32.4,3.44,13.85,0.004,0.028
17744,315.84,185.38,46.5,10.84,130.46,0.030,0.050
17848,420.18,164.99,56.8,19.44,255.19,0.030,0.050
17953,506.52,148.62,65.4,20.25,357.90,0.030,0.050
18057,548.27,157.38,69.5,20.56,390.89,0.030,0.050
18161,533.12,279.64,68.0,19.47,253.48,0.030,0.050
18265,463.97,473.54,53.3,12.17,-9.56,0.020,-0.019
18370,359.00,507.78,36.8,0.56,-148.78,-0.010,-0.050
18474,251.26,357.41,26.2,-5.99,-106.15,-0.010,-0.050
18579,172.80,336.23,20.0,-4.05,-163.43,-0.010,-0.050
18683,150.81,217.08,20.0,-2.11,-66.27,-0.010,-0.050
18788,193.72,205.26,23.2,2.29,-11.54,-0.010,-0.023
18892,288.39,208.55,43.8,4.11,79.84,0.030,0.050
18996,404.58,148.01,55.3,19.63,256.57,0.030,0.050
19101,503.84,129.85,65.1,20.32,373.99,0.030,0.050
19205,549.16,114.15,69.6,20.76,435.01,0.030,0.050
19309,523.99,239.32,67.1,19.80,284.67,0.030,0.050
19413,435.45,461.45,45.7,11.20,-25.99,0.003,-0.050
19518,313.33,384.53,32.3,-5.49,-71.19,-0.010,-0.050
19622,205.06,269.17,21.6,-5.38,-64.11,-0.010,-0.050
19727,151.47,210.63,20.0,-3.35,-59.16,-0.010,-0.050
19831,176.22,217.00,20.0,0.08,-40.78,-0.010,-0.050
19935,270.81,205.24,42.1,3.09,65.58,0.030,0.050
20040,399.84,147.02,54.8,18.89,252.82,0.030,0.050
20144,508.07,115.88,65.5,20.42,392.18,0.030,0.050
20248,550.00,99.71,69.7,20.86,450.29,0.030,0.050
20353,504.63,258.92,65.2,19.70,245.71,0.030,0.050
20457,390.33,467.32,39.9,9.52,-77.00,-0.010,-0.050
20561,256.76,352.11,26.7,-6.74,-95.35,-0.010,-0.050
20666,164.54,204.75,20.0,-4.70,-40.22,-0.010,-0.050
20770,160.11,228.91,20.0,-2.46,-68.79,-0.010,-0.050
20875,248.23,219.06,38.9,2.06,29.16,0.020,0.050
20979,386.72,205.86,53.5,16.33,180.87,0.030,0.050
21083,508.03,136.95,65.5,20.44,371.08,0.030,0.050
21187,549.44,136.95,69.6,20.93,412.49,0.030,0.050
21291,486.83,246.16,63.4,19.75,240.67,0.030,0.050
21396,349.05,456.66,35.8,8.23,-107.61,-0.010,-0.050
21500,211.61,256.63,22.3,-6.61,-45.02,-0.010,-0.050
21605,150.10,162.44,20.0,-3.87,-12.34,-0.010,-0.025
21709,203.07,182.03,32.8,-0.82,21.04,0.012,0.042
21814,343.65,218.67,49.3,7.97,124.97,0.030,0.050
21918,488.23,151.05,63.6,20.02,337.18,0.030,0.050
22023,550.00,151.05,69.7,21.02,398.95,0.030,0.050
22127,486.79,175.20,63.4,20.54,311.60,0.030,0.050
22231,336.04,435.37,34.5,8.56,-99.33,-0.010,-0.050
22336,192.02,318.60,20.3,-6.47,-126.58,-0.010,-0.050
22440,153.32,222.04,20.0,-3.49,-68.72,-0.010,-0.050
22545,249.35,210.17,40.0,0.53,39.18,0.030,0.050
22649,415.88,196.35,56.4,16.56,219.53,0.030,0.050
22753,537.06,117.01,68.4,20.79,420.05,0.030,0.050
22857,523.33,117.01,67.0,21.04,406.32,0.030,0.050
22962,378.88,417.92,38.8,14.06,-39.03,-0.010,-0.050
23066,212.07,282.60,22.3,-6.77,-70.53,-0.010,-0.050
23171,151.35,180.48,20.0,-4.05,-29.13,-0.010,-0.050
23275,249.59,187.45,40.0,-1.03,62.15,0.030,0.050
23380,432.18,213.46,58.0,15.91,218.72,0.030,0.050
23484,546.20,213.46,69.3,20.98,332.74,0.030,0.050
23588,493.70,213.46,64.1,21.03,280.24,0.030,0.050
23692,315.20,443.43,32.5,9.71,-128.24,-0.010,-0.050
23797,165.57,218.48,20.0,-6.30,-52.91,-0.010,-0.050
23901,185.48,164.66,31.0,-3.42,20.82,0.011,0.042
24006,361.78,223.72,51.1,4.91,138.06,0.030,0.050
24110,527.08,132.06,67.4,20.48,395.03,0.030,0.050
24214,519.60,118.85,66.7,21.12,400.75,0.030,0.050
24318,341.27,397.96,35.1,15.66,-56.69,-0.010,-0.050
24423,169.64,276.61,20.0,-6.60,-106.98,-0.010,-0.050
24527,189.30,168.43,31.4,-3.54,20.87,0.011,0.042
24631,383.04,228.26,53.2,4.94,154.78,0.030,0.050
24736,542.22,133.42,68.9,20.78,408.80,0.030,0.050
24840,482.05,120.08,63.0,21.12,361.97,0.030,0.050
24944,267.72,398.33,27.8,9.53,-130.61,-0.010,-0.050
