t_ms,target_hz,meas_hz,duty_pct,curr_a,err_hz,i_term,p_term
0,100.00,0.00,20.0,0.00,100.00,0.000,0.000
105,142.09,0.00,21.4,10.05,142.09,0.000,0.000
209,183.95,78.61,33.5,6.50,105.34,0.030,0.050
313,225.99,119.29,37.7,16.71,106.70,0.030,0.050
418,268.61,210.10,41.9,13.07,58.51,0.030,0.050
522,311.00,274.94,46.1,12.86,36.06,0.030,0.050
626,350.00,328.58,49.2,13.72,21.42,0.030,0.043
731,350.00,365.17,40.3,13.39,-15.17,0.014,-0.030
835,350.00,338.56,46.8,4.81,11.44,0.026,0.023
939,350.00,364.75,40.1,9.43,-14.75,0.011,-0.030
1043,350.00,355.52,41.4,5.08,-5.52,0.005,-0.011
1148,350.00,363.00,38.5,6.62,-13.00,-0.008,-0.026
1252,350.00,344.74,42.7,5.59,5.26,-0.003,0.011
1356,350.00,349.52,41.8,8.01,0.48,-0.002,0.001
1462,350.00,357.78,39.4,7.26,-7.78,-0.010,-0.016
1566,350.00,343.18,43.0,6.29,6.82,-0.003,0.014
1670,350.00,342.21,44.0,8.38,7.79,0.005,0.016
1775,350.00,348.76,42.8,8.74,1.24,0.006,0.002
1879,319.05,357.56,30.9,7.44,-38.50,-0.030,-0.050
1983,274.04,343.11,26.4,2.01,-69.06,-0.030,-0.050
2088,228.40,314.85,21.9,1.23,-86.44,-0.030,-0.050
2192,183.00,272.19,20.0,0.55,-89.19,-0.030,-0.050
2297,136.96,228.63,20.0,2.33,-91.67,-0.030,-0.050
2401,91.16,205.31,20.0,3.95,-114.15,-0.030,-0.050
2506,44.71,177.80,20.0,4.53,-133.09,-0.030,-0.050
2610,-1.50,0.00,0.0,-0.24,-1.50,0.000,0.000
2714,-47.91,-0.00,-20.0,-0.19,-47.91,0.000,0.000
2818,-94.52,-85.45,-20.0,7.45,-9.07,-0.009,-0.018
2922,-141.34,-100.83,-29.3,6.66,-40.51,-0.030,-0.050
3027,-150.00,-129.37,-29.3,10.72,-20.63,-0.030,-0.041
3131,-150.00,-165.28,-20.6,7.63,15.28,-0.014,0.031
3236,-150.00,-169.21,-20.0,8.29,19.21,0.005,0.038
3340,-150.00,-163.56,-20.0,8.81,13.56,0.019,0.027
3445,-150.00,-144.77,-21.8,10.29,-5.23,0.014,-0.010
3549,-150.00,-128.88,-27.2,8.02,-21.12,-0.008,-0.042
3654,-150.00,-144.62,-24.6,7.75,-5.38,-0.013,-0.011
3758,-150.00,-135.67,-27.8,7.31,-14.33,-0.028,-0.029
3863,-150.00,-153.49,-23.9,7.51,3.49,-0.024,0.007
3967,-150.00,-158.84,-21.9,9.16,8.84,-0.015,0.018
4072,-126.79,-150.19,-20.0,9.87,23.40,0.009,0.047
4176,-77.37,-161.27,-20.0,10.66,83.89,0.030,0.050
4281,-27.26,-147.50,-20.0,10.78,120.25,0.030,0.050
4385,22.61,0.00,0.0,-0.04,22.61,0.000,0.000
4489,72.71,0.00,20.0,-0.16,72.71,0.000,0.000
4593,123.04,0.00,20.0,9.65,123.04,0.000,0.000
4697,173.59,71.78,32.5,5.24,101.82,0.030,0.050
4801,224.38,127.49,37.5,16.43,96.89,0.030,0.050
4905,275.41,198.89,42.6,13.75,76.52,0.030,0.050
5010,327.16,275.00,47.7,14.05,52.16,0.030,0.050
5114,350.00,325.18,49.9,15.22,24.82,0.030,0.050
5218,350.00,370.99,38.6,12.57,-20.99,0.009,-0.042
5323,350.00,364.23,38.5,3.74,-14.23,-0.006,-0.028
5427,350.00,355.36,39.7,4.65,-5.36,-0.012,-0.011
5532,350.00,342.45,43.0,6.12,7.55,-0.004,0.015
5636,350.00,345.41,42.9,7.92,4.59,0.001,0.009
5740,350.00,349.72,42.1,7.60,0.28,0.001,0.001
5845,350.00,351.01,41.7,7.09,-1.01,0.000,-0.002
5949,350.00,354.81,40.5,6.98,-4.81,-0.005,-0.010
6054,344.80,352.54,38.6,6.52,-7.74,-0.013,-0.015
6158,290.82,338.18,28.1,5.93,-47.36,-0.030,-0.050
6262,236.59,313.37,22.7,1.21,-76.78,-0.030,-0.050
6367,181.57,258.07,20.0,-0.13,-76.51,-0.030,-0.050
6471,126.81,231.23,20.0,1.31,-104.42,-0.030,-0.050
6576,71.26,206.09,20.0,3.65,-134.83,-0.030,-0.050
6680,15.97,188.29,20.0,4.30,-172.32,-0.030,-0.050
6785,-40.11,0.00,0.0,-0.32,-40.11,0.000,0.000
6889,-95.94,-0.00,-20.0,-0.25,-95.94,0.000,0.000
6993,-150.00,-68.36,-30.2,7.39,-81.64,-0.030,-0.050
7098,-150.00,-102.54,-30.2,11.88,-47.46,-0.030,-0.050
7202,-150.00,-160.64,-22.0,7.72,10.64,-0.019,0.021
7307,-150.00,-167.82,-20.0,8.20,17.82,-0.001,0.036
7411,-150.00,-169.98,-20.0,8.30,19.98,0.020,0.040
7516,-150.00,-150.11,-20.2,9.64,0.11,0.020,0.000
7620,-150.00,-168.08,-20.0,10.76,18.08,0.030,0.036
7725,-150.00,-135.87,-23.4,10.56,-14.13,0.016,-0.028
7829,-150.00,-139.88,-23.7,6.59,-10.12,0.005,-0.020
7934,-127.83,-134.25,-20.0,6.60,6.42,0.012,0.013
8038,-68.91,-125.72,-20.0,10.05,56.81,0.030,0.050
8143,-9.13,-112.91,-20.0,8.71,103.78,0.030,0.050
8247,50.37,0.00,0.0,-0.11,50.37,0.000,0.000
8351,110.18,0.00,20.0,-0.21,110.18,0.000,0.000
8454,169.71,0.00,24.1,9.64,169.71,0.000,0.000
8559,230.69,88.87,38.1,8.72,141.82,0.030,0.050
8663,291.40,95.02,44.1,18.43,196.38,0.030,0.050
8767,350.00,202.82,49.9,16.52,147.18,0.030,0.050
8872,350.00,276.18,49.9,16.81,73.82,0.030,0.050
8976,350.00,363.13,40.9,10.61,-13.13,0.017,-0.026
9080,350.00,375.54,36.0,4.22,-25.54,-0.010,-0.050
9185,350.00,372.43,34.4,3.30,-22.43,-0.030,-0.045
9289,350.00,340.73,41.7,3.87,9.27,-0.021,0.019
9393,350.00,338.06,43.5,7.81,11.94,-0.008,0.024
9498,350.00,337.26,44.9,8.79,12.74,0.005,0.025
9602,346.30,354.11,39.7,9.37,-7.81,-0.003,-0.016
9706,282.41,348.91,27.2,5.79,-66.50,-0.030,-0.050
9811,217.57,320.00,20.8,-0.54,-102.43,-0.030,-0.050
9915,153.01,225.88,20.0,-1.39,-72.87,-0.030,-0.050
10020,87.49,204.48,20.0,2.20,-116.99,-0.030,-0.050
10124,22.26,198.06,20.0,3.80,-175.80,-0.030,-0.050
10228,-43.32,0.00,0.0,-0.38,-43.32,0.000,0.000
10332,-109.24,-0.00,-20.0,-0.29,-109.24,0.000,0.000
10436,-150.00,-0.00,-22.2,7.30,-150.00,0.000,0.000
10540,-150.00,-64.94,-30.2,7.06,-85.06,-0.030,-0.050
10645,-150.00,-118.60,-30.2,10.54,-31.40,-0.030,-0.050
10750,-150.00,-172.30,-20.0,7.55,22.30,-0.007,0.045
10855,-150.00,-195.24,-20.0,7.39,45.24,0.030,0.050
10960,-150.00,-171.37,-20.0,8.35,21.37,0.030,0.043
11064,-150.00,-153.95,-20.0,9.85,3.95,0.030,0.008
11169,-147.38,-152.14,-20.0,10.71,4.76,0.030,0.010
11273,-78.22,-131.09,-20.0,10.27,52.87,0.030,0.050
11378,-8.02,-114.52,-20.0,9.02,106.50,0.030,0.050
11482,61.89,0.00,0.0,-0.16,61.89,0.000,0.000
11586,132.18,0.00,20.4,-0.24,132.18,0.000,0.000
11690,202.85,0.00,27.4,10.08,202.85,0.000,0.000
11794,273.90,105.96,42.4,12.35,167.94,0.030,0.050
11898,345.34,127.49,49.5,19.31,217.85,0.030,0.050
12002,350.00,202.31,49.9,18.20,147.69,0.030,0.050
12107,350.00,327.29,49.5,11.53,22.71,0.030,0.045
12211,350.00,378.46,37.0,9.01,-28.46,0.001,-0.050
12316,350.00,390.39,33.9,2.27,-40.39,-0.030,-0.050
12420,350.00,359.79,37.0,2.46,-9.79,-0.030,-0.020
12524,350.00,333.52,43.9,5.20,16.48,-0.013,0.033
12629,341.28,329.06,43.4,9.97,12.22,-0.001,0.024
12733,266.61,344.81,25.7,8.04,-78.20,-0.030,-0.050
12838,190.79,288.01,20.0,-1.86,-97.22,-0.030,-0.050
12942,115.27,212.87,20.0,-1.32,-97.60,-0.030,-0.050
13047,38.60,200.58,20.0,2.79,-161.98,-0.030,-0.050
13151,-37.78,0.00,0.0,-0.43,-37.78,0.000,0.000
13255,-114.59,-0.00,-20.0,-0.35,-114.59,0.000,0.000
13359,-150.00,-82.03,-30.2,7.32,-67.97,-0.030,-0.050
13463,-150.00,-103.22,-30.2,11.79,-46.78,-0.030,-0.050
13569,-150.00,-160.85,-21.9,7.64,10.85,-0.019,0.022
13673,-150.00,-171.30,-20.0,8.09,21.30,0.003,0.043
13778,-150.00,-157.35,-20.0,8.14,7.35,0.010,0.015
13882,-150.00,-153.16,-20.2,9.52,3.16,0.014,0.006
13987,-132.25,-192.92,-20.0,10.64,60.67,0.030,0.050
14091,-51.83,-143.33,-20.0,10.39,91.50,0.030,0.050
14196,29.84,0.00,0.0,-0.19,29.84,0.000,0.000
14299,110.42,0.00,20.0,-0.30,110.42,0.000,0.000
14403,192.26,0.00,26.3,9.66,192.26,0.000,0.000
14507,274.57,92.29,42.5,11.28,182.28,0.030,0.050
14612,350.00,96.04,49.9,19.50,253.96,0.030,0.050
14716,350.00,203.13,49.9,18.50,146.87,0.030,0.050
14820,350.00,334.38,48.0,11.11,15.62,0.030,0.031
