t_ms,target_hz,meas_hz,duty_pct,curr_a,err_hz,i_term,p_term
0,0.00,0.00,0.0,-0.01,0.00,0.000,0.000
104,50.02,0.00,20.0,-0.00,50.02,0.000,0.000
209,100.74,0.00,20.0,9.99,100.74,0.000,0.000
313,151.19,75.20,30.3,5.46,75.99,0.030,0.050
417,201.84,118.26,35.3,14.91,83.58,0.030,0.050
521,252.71,192.71,40.3,13.00,60.01,0.030,0.050
625,300.00,266.31,45.0,13.52,33.69,0.030,0.050
730,300.00,295.22,40.9,14.12,4.78,0.030,0.010
834,300.00,334.66,31.4,6.74,-34.66,-0.005,-0.050
938,300.00,322.57,29.6,3.07,-22.57,-0.029,-0.045
1043,300.00,281.34,39.8,3.82,18.66,-0.009,0.037
1147,300.00,279.23,42.3,9.65,20.77,0.012,0.042
1251,300.00,305.94,36.4,10.60,-5.94,0.006,-0.012
1356,300.00,303.69,36.4,5.55,-3.69,0.002,-0.007
1460,300.00,320.11,31.1,5.88,-20.11,-0.019,-0.040
1564,300.00,307.95,32.7,4.33,-7.95,-0.027,-0.016
1669,300.00,276.95,41.3,5.38,23.05,-0.003,0.046
1773,300.00,277.91,43.3,12.01,22.09,0.019,0.044
1877,263.90,308.96,25.7,10.96,-45.06,-0.027,-0.050
1982,209.37,277.26,20.0,-0.86,-67.89,-0.030,-0.050
2086,155.13,226.73,20.0,-0.95,-71.60,-0.030,-0.050
2190,100.65,204.74,20.0,3.02,-104.09,-0.030,-0.050
2295,45.40,187.89,20.0,4.12,-142.48,-0.030,-0.050
2399,-9.55,0.00,0.0,-0.26,-9.55,0.000,0.000
2503,-64.75,-0.00,-20.0,-0.20,-64.75,0.000,0.000
2607,-120.20,-99.12,-25.6,7.41,-21.07,-0.022,-0.042
2711,-175.88,-104.93,-32.7,8.74,-70.95,-0.030,-0.050
2816,-232.35,-147.69,-38.3,11.15,-84.66,-0.030,-0.050
2920,-288.53,-201.53,-43.8,11.26,-87.00,-0.030,-0.050
3025,-300.00,-265.54,-45.0,11.91,-34.46,-0.030,-0.050
3129,-300.00,-312.08,-36.3,9.61,12.08,-0.018,0.024
3234,-300.00,-315.79,-34.0,7.94,15.79,-0.001,0.032
3338,-300.00,-303.23,-36.1,7.91,3.23,0.002,0.006
3443,-300.00,-296.05,-38.0,8.98,-3.95,-0.002,-0.008
3547,-300.00,-386.18,-29.0,8.00,86.18,0.030,0.050
3652,-300.00,-307.26,-32.5,7.59,7.26,0.030,0.015
3756,-300.00,-273.33,-41.7,9.09,-26.67,0.003,-0.050
3860,-300.00,-280.24,-42.7,10.60,-19.76,-0.018,-0.040
3965,-300.00,-285.73,-42.8,9.26,-14.27,-0.030,-0.029
4070,-273.29,-307.89,-28.8,8.31,34.60,0.005,0.050
4174,-213.99,-276.94,-20.5,5.78,62.94,0.030,0.050
4278,-154.43,-195.87,-20.0,1.24,41.44,0.030,0.050
4383,-94.02,-222.82,-20.0,5.52,128.81,0.030,0.050
4488,-33.33,-248.00,-20.0,7.32,214.67,0.030,0.050
4593,27.64,0.00,0.0,-0.07,27.64,0.000,0.000
4696,87.73,0.00,20.0,-0.20,87.73,0.000,0.000
4800,148.67,0.00,22.0,9.39,148.67,0.000,0.000
4904,209.90,85.45,36.1,6.76,124.45,0.030,0.050
5009,272.00,128.17,42.2,17.92,143.83,0.030,0.050
5113,300.00,192.26,45.0,16.03,107.74,0.030,0.050
5217,300.00,300.35,39.9,12.58,-0.35,0.030,-0.001
5321,300.00,336.20,31.2,6.06,-36.20,-0.007,-0.050
5426,300.00,326.45,29.0,2.89,-26.45,-0.030,-0.050
5530,300.00,313.27,31.3,3.28,-13.27,-0.030,-0.027
5635,300.00,343.49,29.0,4.87,-43.49,-0.030,-0.050
5739,300.00,308.13,32.4,4.52,-8.13,-0.030,-0.016
5843,300.00,270.17,42.0,5.68,29.83,0.001,0.050
5948,300.00,275.88,44.3,15.22,24.12,0.025,0.048
6052,295.00,311.77,33.9,11.77,-16.76,0.008,-0.034
6156,230.23,325.95,22.1,3.98,-95.72,-0.030,-0.050
6261,164.53,244.76,20.0,-1.92,-80.23,-0.030,-0.050
6365,99.14,223.82,20.0,0.85,-124.68,-0.030,-0.050
6470,32.80,197.03,20.0,3.55,-164.22,-0.030,-0.050
6574,-33.22,0.00,0.0,-0.38,-33.22,0.000,0.000
6678,-99.55,-0.00,-20.0,-0.30,-99.55,0.000,0.000
6782,-166.21,-71.78,-31.8,7.35,-94.43,-0.030,-0.050
6886,-233.19,-113.82,-38.4,13.21,-119.37,-0.030,-0.050
6992,-300.00,-191.37,-45.0,12.19,-108.63,-0.030,-0.050
7097,-300.00,-238.56,-45.0,12.70,-61.44,-0.030,-0.050
7202,-300.00,-303.99,-38.8,8.99,3.99,-0.026,0.008
7307,-300.00,-320.20,-33.5,8.29,20.20,-0.005,0.040
7411,-300.00,-318.23,-32.0,7.72,18.23,0.013,0.036
7516,-300.00,-286.87,-39.6,7.86,-13.13,0.000,-0.026
7621,-300.00,-287.72,-40.7,7.86,-12.28,-0.013,-0.025
7725,-300.00,-291.39,-40.8,8.12,-8.61,-0.021,-0.017
7830,-300.00,-302.75,-38.3,7.76,2.75,-0.019,0.006
7934,-273.40,-292.49,-30.4,8.56,19.09,0.001,0.038
8039,-202.02,-268.90,-20.0,7.70,66.88,0.030,0.050
8144,-130.28,-210.55,-20.0,1.37,80.28,0.030,0.050
8248,-58.86,-247.74,-20.0,6.27,188.87,0.030,0.050
8353,13.60,0.00,0.0,-0.14,13.60,0.000,0.000
8456,85.04,0.00,20.0,-0.28,85.04,0.000,0.000
8560,157.53,0.00,22.9,9.49,157.53,0.000,0.000
8664,230.39,78.61,38.1,7.49,151.77,0.030,0.050
8769,300.00,98.78,45.0,18.62,201.22,0.030,0.050
8873,300.00,186.86,45.0,17.13,113.14,0.030,0.050
8977,300.00,302.15,39.3,9.93,-2.15,0.028,-0.004
9082,300.00,312.81,35.9,5.52,-12.81,0.015,-0.026
9186,300.00,322.85,31.5,4.45,-22.85,-0.009,-0.046
9290,300.00,315.60,31.4,3.76,-15.60,-0.025,-0.031
9395,300.00,289.51,37.7,4.36,10.49,-0.014,0.021
9499,300.00,298.77,36.0,7.53,1.23,-0.013,0.002
9604,294.09,298.13,33.9,6.08,-4.04,-0.017,-0.008
9708,217.41,301.35,20.8,5.43,-83.94,-0.030,-0.050
9812,140.34,223.71,20.0,-0.68,-83.37,-0.030,-0.050
9917,62.12,207.25,20.0,2.37,-145.13,-0.030,-0.050
10021,-15.76,0.00,0.0,-0.43,-15.76,0.000,0.000
10125,-94.04,-0.00,-20.0,-0.34,-94.04,0.000,0.000
10229,-172.74,-64.94,-32.4,7.30,-107.80,-0.030,-0.050
10334,-252.61,-118.60,-40.3,13.65,-134.01,-0.030,-0.050
10439,-300.00,-175.72,-45.0,13.30,-124.28,-0.030,-0.050
10545,-300.00,-254.38,-45.0,11.72,-45.62,-0.030,-0.050
10650,-300.00,-301.90,-39.4,8.81,1.90,-0.028,0.004
10755,-300.00,-309.32,-37.0,8.47,9.32,-0.019,0.019
10859,-300.00,-280.78,-43.8,7.98,-19.22,-0.030,-0.038
10964,-300.00,-309.82,-37.0,8.54,9.82,-0.020,0.020
11068,-300.00,-321.95,-32.3,8.08,21.95,0.003,0.044
11173,-293.67,-305.08,-32.7,7.75,11.41,0.014,0.023
11277,-210.67,-286.35,-20.2,8.06,75.68,0.030,0.050
11382,-126.41,-219.21,-20.0,1.39,92.80,0.030,0.050
11486,-42.50,-253.75,-20.0,6.13,211.25,0.030,0.050
11591,42.68,0.00,0.0,-0.19,42.68,0.000,0.000
11694,126.68,0.00,20.0,-0.31,126.68,0.000,0.000
11798,211.97,0.00,28.3,9.75,211.97,0.000,0.000
11902,297.72,95.70,44.8,13.70,202.01,0.030,0.050
12007,300.00,93.65,45.0,19.90,206.35,0.030,0.050
12111,300.00,267.35,45.0,11.60,32.65,0.030,0.050
12215,300.00,339.97,30.9,8.59,-39.97,-0.011,-0.050
12320,300.00,337.83,29.0,1.06,-37.83,-0.030,-0.050
12424,300.00,323.52,29.3,2.57,-23.52,-0.030,-0.047
12528,300.00,291.88,36.4,4.05,8.12,-0.022,0.016
12633,286.10,282.39,34.6,7.47,3.72,-0.018,0.007
12737,196.47,224.85,20.0,5.81,-28.38,-0.030,-0.050
12842,105.47,204.17,20.0,-0.82,-98.70,-0.030,-0.050
12946,14.83,204.81,20.0,2.83,-189.97,-0.030,-0.050
13051,-77.20,0.00,0.0,-0.46,-77.20,0.000,0.000
13154,-167.99,-0.00,-23.9,-0.36,-167.99,0.000,0.000
13258,-260.17,-0.00,-33.0,9.37,-260.17,0.000,0.000
13363,-300.00,-102.54,-45.0,12.45,-197.46,-0.030,-0.050
13468,-300.00,-153.81,-45.0,16.02,-146.19,-0.030,-0.050
13574,-300.00,-268.31,-45.0,9.44,-31.69,-0.030,-0.050
13678,-300.00,-316.33,-35.0,8.24,16.33,-0.013,0.033
13783,-300.00,-323.90,-31.1,7.59,23.90,0.011,0.048
13887,-300.00,-305.67,-34.1,7.19,5.67,0.017,0.011
13992,-274.07,-289.94,-28.2,8.49,15.87,0.030,0.032
14097,-176.61,-244.21,-20.0,7.32,67.60,0.030,0.050
14201,-79.51,-209.98,-20.0,2.58,130.47,0.030,0.050
14306,19.10,0.00,0.0,-0.22,19.10,0.000,0.000
14409,116.39,0.00,20.0,-0.35,116.39,0.000,0.000
14513,215.20,0.00,28.6,9.53,215.20,0.000,0.000
14617,300.00,85.45,45.0,13.96,214.55,0.030,0.050
14721,300.00,97.41,45.0,19.92,202.59,0.030,0.050
14826,300.00,268.48,45.0,11.44,31.52,0.030,0.050
14930,300.00,330.06,31.9,8.54,-30.06,-0.001,-0.050
15034,300.00,317.77,31.5,1.75,-17.77,-0.019,-0.036
15139,300.00,307.24,32.9,3.60,-7.24,-0.026,-0.014
15243,274.58,208.38,42.5,4.78,66.20,0.030,0.050
15347,170.96,267.59,20.0,12.26,-96.63,-0.030,-0.050
15452,65.72,182.82,20.0,-2.48,-117.10,-0.030,-0.050
15556,-39.16,0.00,0.0,-0.59,-39.16,0.000,0.000
15660,-144.67,-0.00,-21.6,-0.46,-144.67,0.000,0.000
15764,-250.82,-0.00,-32.1,8.30,-250.82,0.000,0.000
15869,-300.00,-58.11,-45.0,12.31,-241.89,-0.030,-0.050
15974,-300.00,-140.48,-45.0,16.40,-159.52,-0.030,-0.050
16080,-300.00,-267.73,-45.0,9.50,-32.27,-0.030,-0.050
16185,-300.00,-316.16,-35.1,8.25,16.16,-0.013,0.032
16289,-300.00,-320.43,-32.1,7.54,20.43,0.007,0.041
16394,-292.09,-314.88,-28.6,7.43,22.79,0.030,0.046
16498,-181.24,-258.53,-20.0,6.95,77.28,0.030,0.050
16603,-68.63,-210.86,-20.0,1.77,142.23,0.030,0.050
16707,43.61,0.00,0.0,-0.31,43.61,0.000,0.000
16811,156.56,0.00,22.8,-0.41,156.56,0.000,0.000
16915,270.21,0.00,34.0,13.22,270.21,0.000,0.000
17019,300.00,95.70,45.0,16.87,204.30,0.030,0.050
17123,300.00,148.34,45.0,18.62,151.66,0.030,0.050
17228,300.00,294.01,41.2,10.45,5.99,0.030,0.012
17332,300.00,327.46,32.2,6.21,-27.46,0.002,-0.050
17436,300.00,313.57,33.1,2.67,-13.57,-0.012,-0.027
17541,230.28,316.24,22.1,4.16,-85.96,-0.030,-0.050
17645,111.45,258.93,20.0,-1.20,-147.48,-0.030,-0.050
17749,-8.15,0.00,0.0,-0.64,-8.15,0.000,0.000
17853,-128.52,-0.00,-20.1,-0.50,-128.52,0.000,0.000
17957,-249.68,-64.94,-40.0,7.25,-184.74,-0.030,-0.050
18062,-300.00,-81.01,-45.0,17.86,-218.99,-0.030,-0.050
18167,-300.00,-202.04,-45.0,13.07,-97.96,-0.030,-0.050
18273,-300.00,-293.03,-41.4,8.82,-6.97,-0.030,-0.014
18378,-300.00,-306.66,-38.0,8.52,6.66,-0.023,0.013
18482,-300.00,-307.33,-37.1,7.99,7.33,-0.016,0.015
18587,-199.25,-328.04,-20.0,8.11,128.78,0.030,0.050
18691,-72.36,-231.71,-20.0,-0.03,159.35,0.030,0.050
18796,56.61,0.00,0.0,-0.36,56.61,0.000,0.000
18899,183.97,0.00,25.5,-0.47,183.97,0.000,0.000
19003,300.00,0.00,37.0,15.79,300.00,0.000,0.000
19107,300.00,85.45,45.0,17.51,214.55,0.030,0.050
19212,300.00,169.19,45.0,17.40,130.81,0.030,0.050
19316,300.00,300.27,39.9,9.81,-0.27,0.030,-0.001
19420,300.00,322.50,33.1,5.57,-22.50,0.007,-0.045
19525,223.46,325.75,21.4,3.38,-102.29,-0.030,-0.050
19629,88.62,224.19,20.0,-2.25,-135.57,-0.030,-0.050
19734,-48.45,0.00,0.0,-0.69,-48.45,0.000,0.000
19838,-185.16,-0.00,-25.6,-0.56,-185.16,0.000,0.000
19942,-300.00,-0.00,-37.0,10.44,-300.00,0.000,0.000
