duty,dir,sample_idx,adc_raw
100,REV,0,3119
100,REV,1,3194
100,REV,2,3244
100,REV,3,3245
100,REV,4,3223
100,REV,5,3178
100,REV,6,3103
100,REV,7,3029
100,REV,8,2962
100,REV,9,2937
100,REV,10,2994
100,REV,11,3098
100,REV,12,3166
100,REV,13,3221
100,REV,14,3237
100,REV,15,3226
100,REV,16,3180
100,REV,17,3114
100,REV,18,3040
100,REV,19,2965
100,REV,20,2922
100,REV,21,2970
100,REV,22,3050
100,REV,23,3141
100,REV,24,3215
100,REV,25,3258
100,REV,26,3250
100,REV,27,3215
100,REV,28,3158
100,REV,29,3093
100,REV,30,3024
100,REV,31,2959
100,REV,32,2946
100,REV,33,3001
100,REV,34,3087
100,REV,35,3166
100,REV,36,3203
100,REV,37,3219
100,REV,38,3200
100,REV,39,3153
100,REV,40,3090
100,REV,41,3034
100,REV,42,2950
100,REV,43,2909
100,REV,44,2963
100,REV,45,3061
100,REV,46,3154
100,REV,47,3217
100,REV,48,3254
100,REV,49,3252
100,REV,50,3216
100,REV,51,3163
100,REV,52,3092
100,REV,53,3010
100,REV,54,2957
100,REV,55,2958
100,REV,56,3010
100,REV,57,3092
100,REV,58,3162
100,REV,59,3197
100,REV,60,3202
100,REV,61,3182
100,REV,62,3124
100,REV,63,3059
100,REV,64,3001
100,REV,65,2926
100,REV,66,2907
100,REV,67,2975
100,REV,68,3076
100,REV,69,3159
100,REV,70,3222
100,REV,71,3258
100,REV,72,3236
100,REV,73,3193
100,REV,74,3137
100,REV,75,3070
100,REV,76,2990
100,REV,77,2937
100,REV,78,2966
100,REV,79,3036
100,REV,80,3122
100,REV,81,3194
100,REV,82,3228
100,REV,83,3226
100,REV,84,3201
100,REV,85,3146
100,REV,86,3072
100,REV,87,3001
100,REV,88,2938
100,REV,89,2940
100,REV,90,3010
100,REV,91,3115
100,REV,92,3190
100,REV,93,3245
100,REV,94,3265
100,REV,95,3258
100,REV,96,3200
100,REV,97,3145
100,REV,98,3068
100,REV,99,2991
100,REV,100,2947
100,REV,101,2991
100,REV,102,3065
100,REV,103,3151
100,REV,104,3213
100,REV,105,3246
100,REV,106,3236
100,REV,107,3195
100,REV,108,3137
100,REV,109,3063
100,REV,110,2992
100,REV,111,2939
100,REV,112,2948
100,REV,113,3023
100,REV,114,3125
100,REV,115,3210
100,REV,116,3248
100,REV,117,3257
100,REV,118,3236
100,REV,119,3183
100,REV,120,3120
100,REV,121,3054
100,REV,122,2968
100,REV,123,2936
100,REV,124,2975
100,REV,125,3066
100,REV,126,3137
100,REV,127,3190
100,REV,128,3208
100,REV,129,3196
100,REV,130,3154
100,REV,131,3098
100,REV,132,3024
100,REV,133,2955
100,REV,134,2901
100,REV,135,2938
100,REV,136,3011
100,REV,137,3115
100,REV,138,3190
100,REV,139,3233
100,REV,140,3242
100,REV,141,3226
100,REV,142,3164
100,REV,143,3094
100,REV,144,3021
100,REV,145,2952
100,REV,146,2930
100,REV,147,2993
100,REV,148,3090
100,REV,149,3169
100,REV,150,3222
100,REV,151,3246
100,REV,152,3224
100,REV,153,3177
100,REV,154,3113
100,REV,155,3038
100,REV,156,2966
100,REV,157,2929
100,REV,158,2978
100,REV,159,3079
100,REV,160,3178
100,REV,161,3247
100,REV,162,3284
100,REV,163,3280
100,REV,164,3250
100,REV,165,3194
100,REV,166,3115
100,REV,167,3037
100,REV,168,2972
100,REV,169,2959
100,REV,170,3019
100,REV,171,3114
100,REV,172,3173
100,REV,173,3216
100,REV,174,3230
100,REV,175,3210
100,REV,176,3147
100,REV,177,3084
100,REV,178,3014
100,REV,179,2941
100,REV,180,2907
100,REV,181,2970
100,REV,182,3052
100,REV,183,3141
100,REV,184,3209
100,REV,185,3242
100,REV,186,3230
100,REV,187,3193
100,REV,188,3138
100,REV,189,3068
100,REV,190,2988
100,REV,191,2938
100,REV,192,2949
100,REV,193,3024
100,REV,194,3119
100,REV,195,3194
100,REV,196,3219
100,REV,197,3225
100,REV,198,3202
100,REV,199,3143
100,REV,200,3074
100,REV,201,3007
100,REV,202,2936
100,REV,203,2922
100,REV,204,2985
100,REV,205,3086
100,REV,206,3168
100,REV,207,3220
100,REV,208,3238
100,REV,209,3225
100,REV,210,3186
100,REV,211,3130
100,REV,212,3052
100,REV,213,2977
100,REV,214,2925
100,REV,215,2954
100,REV,216,3028
100,REV,217,3108
100,REV,218,3169
100,REV,219,3201
100,REV,220,3202
100,REV,221,3178
100,REV,222,3116
100,REV,223,3072
100,REV,224,2973
100,REV,225,2918
100,REV,226,2915
100,REV,227,2987
100,REV,228,3088
100,REV,229,3172
100,REV,230,3226
100,REV,231,3254
100,REV,232,3232
100,REV,233,3180
100,REV,234,3119
100,REV,235,3050
100,REV,236,2973
100,REV,237,2922
100,REV,238,2961
100,REV,239,3036
100,REV,240,3120
100,REV,241,3175
100,REV,242,3200
100,REV,243,3189
100,REV,244,3151
100,REV,245,3094
100,REV,246,3019
100,REV,247,2948
100,REV,248,2896
100,REV,249,2927
100,REV,250,3010
100,REV,251,3114
100,REV,252,3188
100,REV,253,3225
100,REV,254,3237
100,REV,255,3214
100,REV,256,3155
100,REV,257,3089
100,REV,258,3020
100,REV,259,2956
100,REV,260,2928
100,REV,261,2990
100,REV,262,3068
100,REV,263,3149
100,REV,264,3203
100,REV,265,3222
100,REV,266,3202
100,REV,267,3165
100,REV,268,3106
100,REV,269,3031
100,REV,270,2960
100,REV,271,2918
100,REV,272,2957
100,REV,273,3038
100,REV,274,3136
100,REV,275,3206
100,REV,276,3238
100,REV,277,3241
100,REV,278,3218
100,REV,279,3157
100,REV,280,3090
100,REV,281,3015
100,REV,282,2948
100,REV,283,2942
100,REV,284,3009
100,REV,285,3102
100,REV,286,3168
100,REV,287,3213
100,REV,288,3226
100,REV,289,3204
100,REV,290,3155
100,REV,291,3094
100,REV,292,3016
100,REV,293,2941
100,REV,294,2915
100,REV,295,2970
100,REV,296,3058
100,REV,297,3153
100,REV,298,3222
100,REV,299,3245
100,REV,300,3239
100,REV,301,3207
100,REV,302,3143
100,REV,303,3075
100,REV,304,3005
100,REV,305,2942
100,REV,306,2931
100,REV,307,3001
100,REV,308,3078
100,REV,309,3156
100,REV,310,3192
100,REV,311,3199
100,REV,312,3166
100,REV,313,3113
100,REV,314,3047
100,REV,315,2975
100,REV,316,2906
100,REV,317,2891
100,REV,318,2954
100,REV,319,3052
100,REV,320,3142
100,REV,321,3207
100,REV,322,3228
100,REV,323,3217
100,REV,324,3181
100,REV,325,3110
100,REV,326,3053
100,REV,327,2974
100,REV,328,2921
100,REV,329,2958
100,REV,330,3028
100,REV,331,3122
100,REV,332,3187
100,REV,333,3221
100,REV,334,3222
100,REV,335,3198
100,REV,336,3131
100,REV,337,3072
100,REV,338,2989
100,REV,339,2929
100,REV,340,2926
100,REV,341,3018
100,REV,342,3127
100,REV,343,3216
100,REV,344,3261
100,REV,345,3279
100,REV,346,3260
100,REV,347,3212
100,REV,348,3141
100,REV,349,3066
100,REV,350,2992
100,REV,351,2947
100,REV,352,2975
100,REV,353,3052
100,REV,354,3132
100,REV,355,3195
100,REV,356,3216
100,REV,357,3212
100,REV,358,3169
100,REV,359,3111
100,REV,360,3044
100,REV,361,2970
100,REV,362,2907
100,REV,363,2916
100,REV,364,2993
100,REV,365,3104
100,REV,366,3176
100,REV,367,3224
100,REV,368,3233
100,REV,369,3214
100,REV,370,3162
100,REV,371,3094
100,REV,372,3017
100,REV,373,2948
100,REV,374,2917
100,REV,375,2979
100,REV,376,3068
100,REV,377,3156
100,REV,378,3205
100,REV,379,3228
100,REV,380,3216
100,REV,381,3171
100,REV,382,3109
100,REV,383,3040
100,REV,384,2964
100,REV,385,2911
100,REV,386,2942
100,REV,387,3028
100,REV,388,3128
100,REV,389,3197
100,REV,390,3236
100,REV,391,3238
100,REV,392,3207
100,REV,393,3156
100,REV,394,3086
100,REV,395,3011
100,REV,396,2944
100,REV,397,2932
100,REV,398,2986
100,REV,399,3072
100,REV,400,3144
100,REV,401,3194
100,REV,402,3209
100,REV,403,3188
100,REV,404,3141
100,REV,405,3079
100,REV,406,3004
100,REV,407,2934
100,REV,408,2893
100,REV,409,2943
100,REV,410,3036
100,REV,411,3131
100,REV,412,3197
100,REV,413,3236
100,REV,414,3231
100,REV,415,3203
100,REV,416,3142
100,REV,417,3072
100,REV,418,2997
100,REV,419,2929
100,REV,420,2928
