duty,dir,sample_idx,adc_raw
25,REV,0,3044
25,REV,1,3042
25,REV,2,3045
25,REV,3,3049
25,REV,4,3037
25,REV,5,3029
25,REV,6,3027
25,REV,7,3059
25,REV,8,3081
25,REV,9,3078
25,REV,10,3074
25,REV,11,3073
25,REV,12,3063
25,REV,13,3073
25,REV,14,3066
25,REV,15,3065
25,REV,16,3060
25,REV,17,3057
25,REV,18,3058
25,REV,19,3053
25,REV,20,3053
25,REV,21,3049
25,REV,22,3049
25,REV,23,3045
25,REV,24,3045
25,REV,25,3051
25,REV,26,3044
25,REV,27,3033
25,REV,28,3034
25,REV,29,3029
25,REV,30,3082
25,REV,31,3081
25,REV,32,3080
25,REV,33,3077
25,REV,34,3073
25,REV,35,3069
25,REV,36,3067
25,REV,37,3065
25,REV,38,3066
25,REV,39,3061
25,REV,40,3060
25,REV,41,3053
25,REV,42,3054
25,REV,43,3049
25,REV,44,3053
25,REV,45,3049
25,REV,46,3049
25,REV,47,3045
25,REV,48,3050
25,REV,49,3037
25,REV,50,3036
25,REV,51,3029
25,REV,52,3050
25,REV,53,3081
25,REV,54,3084
25,REV,55,3075
25,REV,56,3076
25,REV,57,3071
25,REV,58,3072
25,REV,59,3065
25,REV,60,3066
25,REV,61,3064
25,REV,62,3068
25,REV,63,3060
25,REV,64,3054
25,REV,65,3055
25,REV,66,3054
25,REV,67,3049
25,REV,68,3055
25,REV,69,3044
25,REV,70,3048
25,REV,71,3041
25,REV,72,3037
25,REV,73,3033
25,REV,74,3029
25,REV,75,3085
25,REV,76,3086
25,REV,77,3080
25,REV,78,3081
25,REV,79,3071
25,REV,80,3074
25,REV,81,3069
25,REV,82,3069
25,REV,83,3065
25,REV,84,3065
25,REV,85,3059
25,REV,86,3064
25,REV,87,3057
25,REV,88,3056
25,REV,89,3053
25,REV,90,3053
25,REV,91,3049
25,REV,92,3052
25,REV,93,3053
25,REV,94,3048
25,REV,95,3033
25,REV,96,3035
25,REV,97,3043
25,REV,98,3092
25,REV,99,3077
25,REV,100,3084
25,REV,101,3075
25,REV,102,3080
25,REV,103,3071
25,REV,104,3074
25,REV,105,3068
25,REV,106,3069
25,REV,107,3061
25,REV,108,3064
25,REV,109,3059
25,REV,110,3060
25,REV,111,3056
25,REV,112,3059
25,REV,113,3053
25,REV,114,3051
25,REV,115,3050
25,REV,116,3047
25,REV,117,3041
25,REV,118,3052
25,REV,119,3036
25,REV,120,3071
25,REV,121,3089
25,REV,122,3085
25,REV,123,3084
25,REV,124,3077
25,REV,125,3080
25,REV,126,3071
25,REV,127,3073
25,REV,128,3069
25,REV,129,3068
25,REV,130,3065
25,REV,131,3064
25,REV,132,3061
25,REV,133,3060
25,REV,134,3057
25,REV,135,3056
25,REV,136,3053
25,REV,137,3060
25,REV,138,3061
25,REV,139,3048
25,REV,140,3037
25,REV,141,3041
25,REV,142,3039
25,REV,143,3086
25,REV,144,3087
25,REV,145,3085
25,REV,146,3081
25,REV,147,3080
25,REV,148,3077
25,REV,149,3073
25,REV,150,3077
25,REV,151,3071
25,REV,152,3068
25,REV,153,3068
25,REV,154,3061
25,REV,155,3061
25,REV,156,3059
25,REV,157,3057
25,REV,158,3057
25,REV,159,3056
25,REV,160,3052
25,REV,161,3054
25,REV,162,3053
25,REV,163,3041
25,REV,164,3037
25,REV,165,3080
25,REV,166,3089
25,REV,167,3092
25,REV,168,3083
25,REV,169,3084
25,REV,170,3081
25,REV,171,3080
25,REV,172,3075
25,REV,173,3072
25,REV,174,3069
25,REV,175,3069
25,REV,176,3065
25,REV,177,3066
25,REV,178,3060
25,REV,179,3060
25,REV,180,3057
25,REV,181,3057
25,REV,182,3053
25,REV,183,3054
25,REV,184,3049
25,REV,185,3044
25,REV,186,3037
25,REV,187,3052
25,REV,188,3085
25,REV,189,3092
25,REV,190,3085
25,REV,191,3084
25,REV,192,3081
25,REV,193,3081
25,REV,194,3075
25,REV,195,3076
25,REV,196,3069
25,REV,197,3071
25,REV,198,3065
25,REV,199,3061
25,REV,200,3069
25,REV,201,3064
25,REV,202,3061
25,REV,203,3060
25,REV,204,3055
25,REV,205,3057
25,REV,206,3057
25,REV,207,3053
25,REV,208,3041
25,REV,209,3041
25,REV,210,3067
25,REV,211,3096
25,REV,212,3097
25,REV,213,3089
25,REV,214,3081
25,REV,215,3086
25,REV,216,3080
25,REV,217,3081
25,REV,218,3075
25,REV,219,3076
25,REV,220,3069
25,REV,221,3069
25,REV,222,3065
25,REV,223,3066
25,REV,224,3061
25,REV,225,3080
25,REV,226,3057
25,REV,227,3061
25,REV,228,3053
25,REV,229,3060
25,REV,230,3048
25,REV,231,3048
25,REV,232,3045
25,REV,233,3092
25,REV,234,3096
25,REV,235,3096
25,REV,236,3087
25,REV,237,3098
25,REV,238,3080
