timestamp_ms,throttle,rudder,duty_left,duty_right,rpm_left_hz10,rpm_right_hz10,active_blocks_l,active_blocks_r,mean_is_l,mean_is_r,latch_resets,vbat_mv,pi_integral_l,pi_integral_r,pi_meas_ema_l
8846,0,0,0,0,0,0,0,0,3690,3693,0,30000,0,0,0
8886,0,0,0,0,0,0,0,0,4047,4048,0,30000,0,0,0
8926,0,0,0,0,0,0,0,0,4039,4044,0,30000,0,0,0
8966,0,0,0,0,0,0,0,0,4044,4041,0,30000,0,0,0
9006,0,0,0,0,0,0,0,0,4040,4042,0,30000,0,0,0
9046,0,0,0,0,0,0,0,0,4038,4043,0,30000,0,0,0
9086,0,0,0,0,0,0,0,0,483,527,0,6381,0,0,0
9126,0,0,0,0,0,0,0,0,179,152,0,6511,0,0,0
9182,0,0,0,0,0,0,0,0,119,150,0,5103,0,0,0
9206,0,0,0,0,0,0,0,0,135,150,0,105,0,0,0
9246,0,0,0,0,0,0,0,0,174,144,0,6283,0,0,0
9286,0,0,0,0,0,0,0,0,188,131,0,6438,0,0,0
9327,0,0,0,0,0,0,0,0,157,178,0,6316,0,0,0
9366,0,0,0,0,0,0,0,0,174,158,0,6413,0,0,0
9406,0,0,0,0,0,0,0,0,154,171,0,293,0,0,0
9446,0,0,0,0,0,0,0,0,155,172,0,6381,0,0,0
9486,0,0,0,0,0,0,0,0,150,152,0,6348,0,0,0
9526,0,0,0,0,0,0,0,0,170,158,0,6210,0,0,0
9566,73,0,0,0,0,0,0,0,166,161,0,6006,0,0,0
9607,107,0,213,213,0,0,8,8,172,145,0,5184,-5548,-5548,0
9683,304,0,294,294,716,1196,8,8,1707,1739,0,6820,-5548,-5548,501
9686,424,0,294,294,716,1196,8,8,1707,1739,0,9636,-5548,-5548,501
9769,490,0,435,435,2560,2804,8,8,2649,2635,0,6055,29997,29997,1942
9770,490,0,435,435,2560,2804,8,8,2649,2635,0,7129,29997,29997,1942
9903,711,0,602,602,3027,3222,4,4,3960,3962,0,8415,29997,29997,2701
9906,711,0,602,602,3027,3222,4,4,3960,3962,0,30000,29997,29997,2701
9907,1000,0,602,602,3027,3222,4,4,3960,3962,0,30000,29997,29997,2701
9926,1000,0,602,602,3027,3222,4,4,3960,3962,0,30000,29997,29997,2701
10090,1000,0,847,847,4769,4839,1,1,3938,3944,0,30000,29997,29997,4149
10090,1000,0,847,847,4769,4839,1,1,3938,3944,0,30000,29997,29997,4149
10091,1000,0,847,847,4769,4839,1,1,3938,3944,0,30000,29997,29997,4149
10091,1000,0,847,847,4769,4839,1,1,3938,3944,0,30000,29997,29997,4149
10316,1000,0,1000,1000,6152,6152,1,1,4053,4052,0,30000,29997,29997,5551
10318,1000,0,1000,1000,6152,6152,1,1,4053,4052,0,30000,29997,29997,5551
10318,1000,0,1000,1000,6152,6152,1,1,4053,4052,0,30000,29997,29997,5551
10319,1000,0,1000,1000,6152,6152,1,1,4053,4052,0,30000,29997,29997,5551
10319,1000,0,1000,1000,6152,6152,1,1,4053,4052,0,30000,29997,29997,5551
10326,1000,0,1000,1000,6152,6152,1,1,4053,4052,0,30000,29997,29997,5551
10541,1000,0,1000,1000,0,0,1,1,4062,4063,0,6983,29997,29997,4996
10541,1000,0,1000,1000,0,0,1,1,4062,4063,0,7398,29997,29997,4996
10542,1000,0,1000,1000,0,0,1,1,4062,4063,0,7813,29997,29997,4996
10546,1000,0,1000,1000,0,0,1,1,4062,4063,0,7756,29997,29997,4996
10548,1000,0,1000,1000,0,0,1,1,4062,4063,0,8179,29997,29997,4996
10566,1000,0,1000,1000,0,0,1,1,4062,4063,0,9311,29997,29997,4996
10757,1000,0,1000,1000,10542,8354,8,8,1935,1976,0,6193,29997,29997,8878
10758,1000,0,1000,1000,10542,8354,8,8,1935,1976,0,6364,29997,29997,8878
10759,1000,0,1000,1000,10542,8354,8,8,1935,1976,0,7325,29997,29997,8878
10759,1000,0,1000,1000,10542,8354,8,8,1935,1976,0,7593,29997,29997,8878
10766,1000,0,1000,1000,10542,8354,8,8,1935,1976,0,8627,29997,29997,8878
10974,1000,0,1000,1000,8663,6273,8,8,1578,1585,0,6096,29997,29997,8727
10977,1000,-77,1000,1000,8663,6273,8,8,1578,1585,0,6649,29997,29997,8727
10979,1000,-95,1000,1000,8663,6273,8,8,1578,1585,0,6999,29997,29997,8727
10979,1000,-95,1000,1000,8663,6273,8,8,1578,1585,0,8074,29997,29997,8727
10980,1000,-110,1000,1000,8663,6273,8,8,1578,1585,0,7935,29997,29997,8727
11191,1000,-262,1000,1000,8589,7414,8,8,1567,1590,0,6674,29217,29997,8631
11192,1000,-262,1000,1000,8589,7414,8,8,1567,1590,0,6779,29217,29997,8631
11193,1000,-798,1000,1000,8589,7414,8,8,1567,1590,0,7691,29217,29997,8631
11197,1000,-798,1000,1000,8589,7414,8,8,1567,1590,0,7252,29217,29997,8631
11199,1000,-798,1000,1000,8589,7414,8,8,1567,1590,0,7667,29217,29997,8631
11206,1000,-798,1000,1000,8589,7414,8,8,1567,1590,0,10328,29217,29997,8631
11396,1000,-798,715,1000,7438,7074,8,8,1533,1536,0,5811,-9999,29997,7796
11397,1000,-798,715,1000,7438,7074,8,8,1533,1536,0,6031,-9999,29997,7796
11397,1000,-798,715,1000,7438,7074,8,8,1533,1536,0,6527,-9999,29997,7796
11398,1000,-798,715,1000,7438,7074,8,8,1533,1536,0,6560,-9999,29997,7796
11406,1000,-798,715,1000,7438,7074,8,8,1533,1536,0,20697,-9999,29997,7796
11567,1000,-798,528,1000,4561,9761,8,8,1182,1331,0,6104,-9999,29997,5532
11572,1000,-798,528,1000,4561,9761,8,8,1182,1331,0,6250,-9999,29997,5532
11574,1000,-798,528,1000,4561,9761,8,8,1182,1331,0,6592,-9999,29997,5532
11575,1000,-798,528,1000,4561,9761,8,8,1182,1331,0,6877,-9999,29997,5532
11725,1000,-798,366,1000,3803,9002,8,8,1124,949,0,6079,-9999,29997,4321
11726,1000,-798,366,1000,3803,9002,8,8,1124,949,0,6202,-9999,29997,4321
11727,1000,-798,366,1000,3803,9002,8,8,1124,949,0,6779,-9999,29997,4321
11728,1000,-798,366,1000,3803,9002,8,8,1124,949,0,6682,-9999,29997,4321
11865,1000,-791,222,940,2528,11706,8,8,963,894,0,5811,-9999,-9999,3066
11869,1000,-791,222,940,2528,11706,8,8,963,894,0,6088,-9999,-9999,3066
11871,1000,-115,222,940,2528,11706,8,8,963,894,0,6552,-9999,-9999,3066
11886,1000,0,222,940,2528,11706,8,8,963,894,0,6836,-9999,-9999,3066
12008,1000,0,162,940,1803,9726,8,8,893,887,0,5795,-14997,-14997,2182
12011,1000,185,162,940,1803,9726,8,8,893,887,0,6193,-14997,-14997,2182
12013,1000,201,162,940,1803,9726,8,8,893,887,0,162,-14997,-14997,2182
12178,1000,320,567,917,3928,10953,8,8,801,897,0,5705,29997,-9999,3404
12179,1000,320,567,917,3928,10953,8,8,801,897,0,10922,29997,-9999,3404
12183,1000,320,567,917,3928,10953,8,8,801,897,0,30000,29997,-9999,3404
12185,1000,800,567,917,3928,10953,8,8,801,897,0,30000,29997,-9999,3404
12374,1000,800,885,758,4841,8604,8,8,2866,2889,0,11940,29997,-9999,4410
12375,1000,800,885,758,4841,8604,8,8,2866,2889,0,30000,29997,-9999,4410
12375,1000,800,885,758,4841,8604,8,8,2866,2889,0,30000,29997,-9999,4410
12376,1000,800,885,758,4841,8604,8,8,2866,2889,0,30000,29997,-9999,4410
12376,1000,800,885,758,4841,8604,8,8,2866,2889,0,30000,29997,-9999,4410
12552,1000,800,993,579,11749,5995,8,8,2895,3100,0,6600,22655,-9999,9547
12556,1000,800,993,579,11749,5995,8,8,2895,3100,0,30000,22655,-9999,9547
12558,1000,800,993,579,11749,5995,8,8,2895,3100,0,30000,22655,-9999,9547
12559,1000,800,993,579,11749,5995,8,8,2895,3100,0,30000,22655,-9999,9547
12566,1000,800,993,579,11749,5995,8,8,2895,3100,0,30000,22655,-9999,9547
12715,1000,800,1000,412,7845,3525,8,8,2734,2207,0,6576,29997,-9999,8356
12716,1000,800,1000,412,7845,3525,8,8,2734,2207,0,6999,29997,-9999,8356
