timestamp_ms,throttle,rudder,duty_left,duty_right,rpm_left_hz10,rpm_right_hz10,active_blocks_l,active_blocks_r,mean_is_l,mean_is_r,latch_resets,vbat_mv,pi_integral_l,pi_integral_r,pi_meas_ema_l
58140,0,800,0,0,0,0,0,0,3764,3792,0,29325,0,0,6316
58207,0,800,246,-255,1975,-1921,7,7,2226,2304,0,8969,10664,14580,3277
58220,0,800,246,-255,1975,-1921,7,7,2226,2304,0,8464,10664,14580,3277
58301,0,800,418,-441,3373,-2344,8,8,1471,1618,0,6845,29997,29997,3344
58302,0,800,418,-441,3373,-2344,8,8,1471,1618,0,30000,29997,29997,3344
58440,0,800,617,-617,3222,-3222,1,1,3987,3985,0,9734,29997,29997,3259
58441,0,800,617,-617,3222,-3222,1,1,3987,3985,0,10263,29997,29997,3259
58442,0,800,617,-617,3222,-3222,1,1,3987,3985,0,30000,29997,29997,3259
58488,0,800,617,-617,3222,-3222,1,1,3987,3985,0,10182,29997,29997,2933
58659,0,800,895,-895,0,0,1,1,3970,3967,0,6210,29997,29997,2933
58662,0,800,895,-895,0,0,1,1,3970,3967,0,30000,29997,29997,2933
58663,0,800,895,-895,0,0,1,1,3970,3967,0,30000,29997,29997,2933
58664,0,800,895,-895,0,0,1,1,3970,3967,0,30000,29997,29997,2933
58664,0,800,895,-895,0,0,1,1,3970,3967,0,30000,29997,29997,2933
58855,0,800,895,-895,4980,-4980,1,1,3929,3932,0,29504,29997,29997,4366
58855,0,800,895,-895,4980,-4980,1,1,3929,3932,0,30000,29997,29997,4366
58859,0,800,895,-895,4980,-4980,1,1,3929,3932,0,30000,29997,29997,4366
58862,0,800,895,-895,4980,-4980,1,1,3929,3932,0,30000,29997,29997,4366
58862,0,800,895,-895,4980,-4980,1,1,3929,3932,0,25817,29997,29997,4366
59049,0,800,755,-801,9738,-9125,8,8,3259,3236,0,5713,-9999,14807,8126
59049,0,800,755,-801,9738,-9125,8,8,3259,3236,0,5949,-9999,14807,8126
59050,0,800,755,-801,9738,-9125,8,8,3259,3236,0,6096,-9999,14807,8126
59050,0,800,755,-801,9738,-9125,8,8,3259,3236,0,6210,-9999,14807,8126
59060,0,800,755,-801,9738,-9125,8,8,3259,3236,0,6486,-9999,14807,8126
59237,0,800,872,-895,0,-5255,8,8,238,222,0,5860,12704,29997,7314
59238,0,800,872,-895,0,-5255,8,8,238,222,0,6796,12704,29997,7314
59239,0,800,872,-895,0,-5255,8,8,238,222,0,8733,12704,29997,7314
59239,0,800,872,-895,0,-5255,8,8,238,222,0,30000,12704,29997,7314
59260,0,800,872,-895,0,-5255,8,8,238,222,0,30000,12704,29997,7314
59428,0,800,895,-886,6464,-7893,3,5,3856,3862,0,9571,29997,29997,6719
59429,0,800,895,-886,6464,-7893,3,5,3856,3862,0,9099,29997,29997,6719
59430,0,800,895,-886,6464,-7893,3,5,3856,3862,0,9661,29997,29997,6719
59433,0,782,895,-886,6464,-7893,3,5,3856,3862,0,10051,29997,29997,6719
59621,0,469,870,-730,5739,-9586,8,8,2314,2309,0,6421,29997,-9999,6033
59622,0,469,870,-730,5739,-9586,8,8,2314,2309,0,6706,29997,-9999,6033
59623,0,469,870,-730,5739,-9586,8,8,2314,2309,0,6690,29997,-9999,6033
59624,0,-793,870,-730,5739,-9586,8,8,2314,2309,0,7186,29997,-9999,6033
59624,0,-793,870,-730,5739,-9586,8,8,2314,2309,0,7422,29997,-9999,6033
59770,0,-797,705,-635,4633,-4093,8,8,681,729,0,5925,29997,-1884,5053
59772,0,-797,705,-635,4633,-4093,8,8,681,729,0,5510,29997,-1884,5053
59773,0,-798,705,-635,4633,-4093,8,8,681,729,0,5689,29997,-1884,5053
59780,0,-798,705,-635,4633,-4093,8,8,681,729,0,5729,29997,-1884,5053
59904,0,-798,635,-635,0,-3758,8,8,140,144,0,4802,29997,29997,4547
59905,0,-798,635,-635,0,-3758,8,8,140,144,0,5160,29997,29997,4547
59906,0,-798,635,-635,0,-3758,8,8,140,144,0,4899,29997,29997,4547
60023,0,-798,573,-573,3137,-3166,8,8,234,228,0,5925,29997,29997,3560
60024,0,-798,573,-573,3137,-3166,8,8,234,228,0,6145,29997,29997,3560
60024,0,-798,573,-573,3137,-3166,8,8,234,228,0,6210,29997,29997,3560
60128,0,-798,519,-519,0,0,8,8,193,204,0,5257,29997,29997,3204
60132,0,-798,519,-519,0,0,8,8,193,204,0,5445,29997,29997,3204
60140,0,-798,519,-519,0,0,8,8,193,204,0,6381,29997,29997,3204
60232,0,-798,469,-469,0,0,8,8,188,150,0,5176,29997,29997,2883
60233,0,-798,469,-469,0,0,8,8,188,150,0,5542,29997,29997,2883
60313,0,-798,398,-407,0,0,8,8,154,171,0,4973,29997,29997,2595
60314,0,-798,398,-407,0,0,8,8,154,171,0,5363,29997,29997,2595
60394,0,-798,331,-342,0,0,8,8,125,155,0,5420,26248,29997,2335
60394,0,-798,331,-342,0,0,8,8,125,155,0,5640,26248,29997,2335
60420,0,-798,331,-342,0,0,8,8,125,155,0,6356,26248,29997,2335
60479,0,-798,238,-248,0,0,8,8,132,118,0,4956,6088,12650,2102
60500,0,-798,238,-248,0,0,8,8,132,118,0,6348,6088,12650,2102
60563,0,-798,167,-167,0,0,8,8,143,134,0,4964,-19996,-19996,1892
60580,0,-798,167,-167,0,0,8,8,143,134,0,203,-19996,-19996,1892
60639,0,-798,150,-150,0,0,8,8,125,144,0,5160,-19996,-19996,1702
60660,0,-798,150,-150,0,0,8,8,125,144,0,6397,-19996,-19996,1702
60705,0,-798,150,-150,0,0,8,8,141,135,0,5233,-19996,-19996,1532
60756,0,-798,150,0,0,0,8,8,147,138,0,5241,-19996,0,1379
60780,0,-798,150,0,0,0,8,8,147,138,0,6259,-19996,0,1379
60820,0,-798,0,0,0,0,0,0,164,115,0,6275,0,0,1117
60860,0,-798,0,0,0,0,0,0,157,135,0,6218,0,0,1005
60900,0,-798,0,0,0,0,0,0,150,142,0,6267,0,0,814
60940,0,-798,0,0,0,0,0,0,156,143,0,6421,0,0,733
60980,0,-798,0,0,0,0,0,0,161,139,0,6299,0,0,593
61020,0,-798,0,0,0,0,0,0,144,152,0,6413,0,0,0
61060,0,-798,-239,239,0,0,0,8,139,155,0,10719,-5548,-5548,0
61110,0,-798,-329,329,0,1784,0,8,2450,2506,0,8505,-5548,-5548,0
61170,0,-798,-432,432,0,2967,0,7,3640,3660,0,7496,29997,29997,0
61180,0,-798,-432,432,0,2967,0,7,3640,3660,0,30000,29997,29997,0
61245,0,-798,-543,543,0,2691,0,4,3909,3899,0,11150,29997,29997,0
61260,0,-798,-543,543,0,2691,0,4,3909,3899,0,30000,29997,29997,0
61336,0,-798,-680,680,0,0,0,2,4048,4029,0,14797,29997,29997,0
61340,0,-798,-680,680,0,0,0,2,4048,4029,0,30000,29997,29997,0
61448,0,-798,-849,849,0,0,0,1,4057,4063,0,30000,29997,29997,0
61452,0,-798,-849,849,0,0,0,1,4057,4063,0,30000,29997,29997,0
61460,0,-798,-849,849,0,0,0,1,4057,4063,0,30000,29997,29997,0
61571,0,-754,-883,883,0,0,0,1,4077,4075,0,30000,29997,29997,0
61572,0,-754,-883,883,0,0,0,1,4077,4075,0,30000,29997,29997,0
61580,0,-503,-883,883,0,0,0,1,4077,4075,0,30000,29997,29997,0
61689,0,-405,-830,830,0,0,0,1,4094,4094,0,15806,29997,29997,0
61690,0,-405,-830,830,0,0,0,1,4094,4094,0,13690,29997,29997,0
61700,0,0,-830,830,0,0,0,1,4094,4094,0,7072,29997,29997,0
61784,0,0,-719,719,0,4088,0,8,717,732,0,5925,29997,29997,0
61787,0,0,-719,719,0,4088,0,8,717,732,0,5827,29997,29997,0
61865,0,0,-633,493,0,6076,0,8,175,162,0,4907,9999,9999,0
61866,0,0,-633,493,0,6076,0,8,175,162,0,5331,9999,9999,0
61937,0,0,-558,418,0,0,0,8,126,162,0,5160,9999,9999,0
61940,0,0,-558,418,0,0,0,8,126,162,0,5974,9999,9999,0
62001,0,0,-491,351,0,0,0,8,153,138,0,4956,9999,9999,0
62020,0,0,-491,351,0,0,0,8,153,138,0,6291,9999,9999,0
62060,0,0,-432,292,0,0,0,8,147,138,0,5225,9999,9999,0
62115,0,0,-377,237,0,0,0,8,146,120,0,5030,9999,9999,0
62140,0,0,-377,237,0,0,0,8,146,120,0,6421,9999,9999,0
62180,0,0,-326,186,0,0,0,8,129,149,0,6356,19996,19996,0
62222,0,0,-275,150,0,0,0,8,161,124,0,5290,19996,19996,0
62266,0,0,-227,150,0,0,0,8,147,140,0,5038,19996,19996,0
62300,0,0,0,0,0,0,0,0,263,251,0,6413,-9998,-9998,0
62340,0,0,0,0,0,0,0,0,153,161,0,6372,0,0,0
62380,0,0,0,0,0,0,0,0,155,151,0,6307,0,0,0
62420,0,0,0,0,0,0,0,0,137,140,0,6267,0,0,0
62460,0,0,0,0,0,0,0,0,161,146,0,6299,0,0,0
62500,0,0,0,0,0,0,0,0,160,148,0,6332,0,0,0
62540,0,0,0,0,0,0,0,0,148,154,0,6291,0,0,0
62580,0,0,0,0,0,0,0,0,156,144,0,6316,0,0,0
62620,0,0,0,0,0,0,0,0,139,168,0,6413,0,0,0
62660,0,0,0,0,0,0,0,0,153,148,0,6413,0,0,0
62700,0,0,0,0,0,0,0,0,147,154,0,6226,0,0,0
