t_s,cmdL,cmdR,velL,velR,iqL,iqR
0.0001251697540283203,-0.287668,0.317949,1.069444,-0.958333,0.494548,-0.381436
0.04023265838623047,-0.937241,0.972405,0.777778,-0.75,0.670679,-0.660788
0.08034610748291016,-1.494017,1.529182,0.416667,-0.319444,0.793091,-0.718747
0.12041592597961426,-1.950672,1.985836,0.222222,-0.041667,0.805924,-0.954502
0.16052985191345215,-1.965142,2.0,-0.402778,0.486111,0.753486,-0.765732
0.20069527626037598,-1.969947,2.0,-0.277778,0.361111,0.804901,-0.905547
0.24082040786743164,-1.969947,2.0,-0.486111,0.5,0.688681,-0.789519
0.28087854385375977,-1.965142,2.0,-0.666667,0.625,0.629169,-0.585361
0.3209695816040039,-1.969947,2.0,-0.777778,0.736111,0.436307,-0.489035
0.36104846000671387,-1.965142,2.0,-0.875,0.819444,0.508986,-0.532312
0.40111637115478516,-1.965142,2.0,-0.930556,0.888889,0.604624,-0.587708
0.44123291969299316,-1.965142,2.0,-1.013889,0.958333,0.593527,-0.34849
0.4813370704650879,-1.965142,2.0,-1.097222,1.027778,0.137434,-0.517449
0.5214104652404785,-1.965142,2.0,-1.166667,1.083333,0.366954,-0.515424
0.5615313053131104,-1.969947,2.0,-1.194444,1.125,0.084567,-0.218248
0.6016321182250977,-1.969947,2.0,-1.263889,1.152778,0.28056,-0.407727
0.6417381763458252,-1.965142,2.0,-1.277778,1.208333,0.375357,-0.30139
0.6818692684173584,-1.965142,2.0,-1.319444,1.222222,0.342253,-0.425722
0.7219395637512207,-1.965142,2.0,-1.319444,1.263889,-0.046163,-0.543099
0.7620112895965576,-1.969947,2.0,-1.319444,1.263889,0.358592,-0.363543
0.8020775318145752,-1.855433,1.885714,-1.319444,1.305556,-0.028427,-0.295326
0.8421778678894043,-1.205861,1.236142,-1.305556,1.277778,-0.009414,-0.050024
0.8822777271270752,-0.158242,0.193407,-1.208333,1.208333,-0.499434,0.519579
0.9223470687866211,0.381441,-0.346276,-1.013889,1.041667,-0.506327,0.640507
0.9624614715576172,1.248352,-1.213187,-0.694444,0.680556,-0.832774,0.704987
1.0025601387023926,1.895482,-1.860318,-0.305556,0.486111,-0.794589,0.927524
1.0426807403564453,2.0,-1.965057,0.208333,0.069444,-0.871625,0.963283
1.0827808380126953,2.0,-1.965057,0.333333,-0.486111,-0.790559,0.731129
1.1229066848754883,2.0,-1.965057,0.430556,-0.180556,-0.599484,0.734599
1.1629784107208252,2.0,-1.965057,0.652778,-0.416667,-0.69394,0.709336
1.203066349029541,2.0,-1.965057,0.708333,-0.555556,-0.666038,0.561861
1.2431738376617432,2.0,-1.969874,0.861111,-0.652778,-0.322944,0.815943
1.2832751274108887,2.0,-1.965057,0.958333,-0.75,-0.435764,0.546853
1.3233933448791504,2.0,-1.965057,1.027778,-0.847222,-0.414273,0.637422
1.36350679397583,2.0,-1.965057,1.111111,-0.944444,-0.304122,0.584817
1.4036109447479248,2.0,-1.965057,1.166667,-1.0,-0.582233,0.457501
1.443713903427124,2.0,-1.965057,1.208333,-1.041667,-0.296306,0.349617
1.4837818145751953,2.0,-1.965057,1.277778,-1.125,-0.608699,0.57189
1.523923635482788,2.0,-1.965057,1.319444,-1.138889,-0.098403,0.21112
1.5639920234680176,2.0,-1.969874,1.388889,-1.180556,0.080269,0.333326
1.604062557220459,2.0,-1.965057,1.402778,-1.222222,-0.333038,0.340183
1.6441700458526611,2.0,-1.965057,1.388889,-1.263889,-0.336036,0.463262
1.6842691898345947,1.907692,-1.872528,1.402778,-1.277778,-0.134327,0.332976
1.72438645362854,1.433944,-1.398779,1.375,-1.25,-0.342516,-0.009569
1.7644550800323486,0.381441,-0.346276,1.305556,-1.222222,0.382006,-0.480141
1.8045639991760254,0.017582,0.017582,1.138889,-1.041667,0.270988,-0.363274
1.8446784019470215,-0.177778,0.212943,0.847222,-0.805556,0.545612,-0.447493
1.8849537372589111,-0.710134,0.745299,0.541667,-0.472222,0.666466,-0.537192
1.925022840499878,-1.210745,1.24591,0.263889,-0.180556,0.81317,-0.840262
1.9651293754577637,-1.740659,1.775824,0.194444,0.083333,1.036692,-0.817937
2.0052268505096436,-1.965142,2.0,-0.444444,0.083333,0.68823,-0.869213
2.045344114303589,-1.965142,2.0,-0.125,0.375,0.828588,-0.670987
2.085448741912842,-1.965142,2.0,-0.458333,0.486111,0.758411,-0.696867
2.1255648136138916,-1.969947,2.0,-0.597222,0.652778,0.66935,-0.713364
2.1656312942504883,-1.965142,2.0,-0.736111,0.736111,0.639876,-0.570511
2.2057387828826904,-1.965142,2.0,-0.819444,0.819444,0.566785,-0.484331
2.2458853721618652,-1.965142,2.0,-0.902778,0.902778,0.309644,-0.539869
2.2859578132629395,-1.965142,2.0,-1.0,0.972222,0.840686,-0.418535
2.326030731201172,-1.965142,2.0,-1.069444,1.027778,0.098214,-0.381613
2.3660998344421387,-1.965142,2.0,-1.166667,1.083333,0.701347,-0.355387
2.406216859817505,-1.965142,2.0,-1.180556,1.138889,0.161143,-0.475615
2.4463295936584473,-1.965142,2.0,-1.305556,1.166667,0.530646,-0.679075
2.4864342212677,-1.965142,2.0,-1.277778,1.180556,0.836018,-0.307359
2.52655029296875,-1.965142,2.0,-1.319444,1.236111,0.006039,-0.394768
2.5666513442993164,-1.965142,2.0,-1.319444,1.222222,0.390983,-0.277258
2.6067211627960205,-1.965142,2.0,-1.333333,1.277778,0.572267,-0.146142
2.646794557571411,-1.965142,2.0,-1.333333,1.291667,0.403974,-0.334438
2.6868927478790283,-1.877411,1.912576,-1.319444,1.305556,-0.052033,-0.187982
2.7269623279571533,-1.406105,1.44127,-1.319444,1.263889,-0.138011,-0.180906
2.767052173614502,-0.492796,0.527961,-1.208333,1.180556,-0.342515,0.253369
2.8071579933166504,0.134799,-0.099634,-1.0,0.986111,-0.7326,0.679894
2.847273111343384,0.913797,-0.883517,-0.638889,0.666667,-1.043727,0.542828
2.88734769821167,1.531624,-1.496459,-0.361111,0.444444,-0.863461,0.857724
2.9274184703826904,1.907692,-1.872528,-0.125,0.069444,-1.073755,0.928858
2.967654228210449,2.0,-1.965057,0.472222,-0.486111,-0.653569,0.326124
3.0077695846557617,2.0,-1.965057,0.138889,-0.152778,-0.452449,0.718401
3.047900676727295,2.0,-1.969874,0.458333,-0.444444,-0.697552,0.545352
3.08796763420105,2.0,-1.969874,0.569444,-0.569444,-0.675981,0.446412
3.128082752227783,2.0,-1.965057,0.680556,-0.652778,-0.14806,0.510437
3.16814923286438,2.0,-1.965057,0.833333,-0.736111,-0.452922,0.45829
3.208251714706421,2.0,-1.965057,0.916667,-0.833333,-0.92148,0.504542
3.248363733291626,2.0,-1.965057,0.986111,-0.930556,-0.580363,0.429435
3.2884671688079834,2.0,-1.965057,1.069444,-1.0,-0.552763,0.357144
3.328585147857666,2.0,-1.965057,1.138889,-1.055556,-1.178811,0.445778
3.3687429428100586,2.0,-1.965057,1.208333,-1.111111,-0.369897,0.458231
3.4088945388793945,2.0,-1.965057,1.291667,-1.138889,-0.452039,0.335365
3.448962926864624,2.0,-1.965057,1.347222,-1.208333,-0.353898,0.434876
3.489032745361328,2.0,-1.965057,1.388889,-1.208333,-0.260704,0.318094
3.5291428565979004,2.0,-1.969874,1.375,-1.25,-0.114878,0.336626
3.56923246383667,2.0,-1.965057,1.430556,-1.25,-0.491121,0.341188
3.609351634979248,2.0,-1.965057,1.402778,-1.291667,-0.130728,0.375476
3.649451732635498,2.0,-1.965057,1.402778,-1.291667,-0.347516,0.174609
3.689554214477539,1.729426,-1.694261,1.430556,-1.291667,-0.521605,0.318631
3.7296600341796875,0.369231,-0.334066,1.305556,-1.25,0.375886,-0.382048
3.7697343826293945,-0.023932,0.054212,1.083333,-1.069444,0.379906,-0.402991
3.80985426902771,-0.53431,0.569475,0.861111,-0.833333,0.619232,-0.556075
3.8500254154205322,-1.203419,1.238584,0.513889,-0.472222,0.697553,-0.63549
3.89013671875,-1.704029,1.73431,0.166667,-0.138889,0.656182,-0.92042
3.930253267288208,-1.969947,2.0,0.027778,-0.013889,1.013442,-0.914143
