t_ms,target_hz,meas_hz,duty_pct,curr_a,err_hz,i_term,p_term
104,200.00,0.00,27.1,0.00,200.00,0.000,0.000
208,200.00,71.78,35.1,16.96,128.22,0.030,0.050
312,200.00,137.74,35.1,16.20,62.26,0.030,0.050
417,200.00,219.06,24.3,8.74,-19.06,0.010,-0.038
521,200.00,236.62,21.1,3.65,-36.62,-0.010,-0.050
625,200.00,217.96,22.5,2.94,-17.96,-0.010,-0.036
729,200.00,164.51,34.7,4.53,35.49,0.026,0.050
833,200.00,210.00,26.7,12.89,-10.00,0.016,-0.020
938,200.00,240.73,21.1,4.66,-40.73,-0.010,-0.050
1042,200.00,215.77,23.0,3.35,-15.77,-0.010,-0.032
1146,200.00,297.15,21.1,4.61,-97.15,-0.010,-0.050
1251,200.00,215.61,23.0,4.53,-15.61,-0.010,-0.031
1355,200.00,242.42,21.1,4.51,-42.42,-0.010,-0.050
1459,200.00,185.52,30.5,4.43,14.48,0.005,0.029
1563,200.00,175.28,35.1,11.15,24.72,0.030,0.049
1667,200.00,220.07,24.0,11.62,-20.07,0.009,-0.040
1772,200.00,233.50,21.1,3.82,-33.50,-0.010,-0.050
1876,200.00,213.60,23.4,3.54,-13.60,-0.010,-0.027
1980,200.00,204.22,25.3,4.54,-4.22,-0.010,-0.008
2084,200.00,194.57,27.8,4.75,5.43,-0.004,0.011
2189,200.00,198.51,27.1,6.29,1.49,-0.003,0.003
2293,200.00,199.69,26.9,5.24,0.31,-0.003,0.001
2397,200.00,203.46,25.8,5.15,-3.46,-0.006,-0.007
2501,200.00,197.76,27.2,4.81,2.24,-0.004,0.004
2605,200.00,196.05,27.9,5.42,3.95,0.000,0.008
2710,200.00,202.37,26.4,5.88,-2.37,-0.002,-0.005
2814,200.00,207.68,24.6,4.90,-7.68,-0.010,-0.015
2918,200.00,270.80,21.1,4.64,-70.80,-0.010,-0.050
3023,200.00,217.96,22.5,4.54,-17.96,-0.010,-0.036
3127,200.00,164.51,34.7,4.42,35.49,0.026,0.050
3231,200.00,179.24,34.3,15.12,20.76,0.030,0.042
3335,200.00,231.51,21.9,8.10,-31.51,-0.002,-0.050
3439,200.00,230.10,21.1,2.41,-30.10,-0.010,-0.050
3544,200.00,212.58,23.6,3.57,-12.58,-0.010,-0.025
3648,200.00,214.17,23.3,4.49,-14.17,-0.010,-0.028
3752,200.00,214.17,23.3,4.49,-14.17,-0.010,-0.028
3857,200.00,122.36,35.1,4.44,77.64,0.030,0.050
3961,200.00,149.50,35.1,15.35,50.50,0.030,0.050
4066,200.00,232.84,21.7,8.52,-32.84,-0.004,-0.050
4170,200.00,240.75,21.1,1.65,-40.75,-0.010,-0.050
4274,200.00,198.69,26.5,3.40,1.31,-0.009,0.003
4378,200.00,203.16,25.5,4.91,-3.16,-0.010,-0.006
4482,200.00,225.01,21.1,4.71,-25.01,-0.010,-0.050
4587,200.00,204.22,25.3,4.48,-4.22,-0.010,-0.008
4691,200.00,187.73,29.8,4.88,12.27,0.003,0.025
4796,200.00,199.87,27.4,8.75,0.13,0.003,0.000
4900,200.00,210.35,24.2,5.09,-10.35,-0.008,-0.021
5004,200.00,206.66,24.8,4.49,-6.66,-0.010,-0.013
5108,200.00,246.57,21.1,4.60,-46.57,-0.010,-0.050
5213,200.00,220.94,21.9,4.52,-20.94,-0.010,-0.042
5317,200.00,182.49,31.4,4.36,17.51,0.008,0.035
5421,200.00,184.63,32.5,11.63,15.37,0.024,0.031
5525,200.00,219.45,23.6,8.36,-19.45,0.004,-0.039
5629,200.00,216.23,22.9,4.07,-16.23,-0.010,-0.032
5734,200.00,218.68,22.4,4.34,-18.68,-0.010,-0.037
5838,200.00,280.93,21.1,4.52,-80.93,-0.010,-0.050
5942,200.00,255.18,21.1,4.52,-55.18,-0.010,-0.050
6047,200.00,199.60,26.2,4.38,0.40,-0.010,0.001
6151,200.00,176.09,33.4,6.54,23.91,0.015,0.048
6255,200.00,196.38,29.7,12.75,3.62,0.019,0.007
6359,200.00,226.40,21.3,5.34,-26.40,-0.008,-0.050
6464,200.00,211.47,23.8,3.34,-11.47,-0.010,-0.023
6568,200.00,210.41,24.0,4.48,-10.41,-0.010,-0.021
6672,200.00,182.75,31.3,4.51,17.25,0.008,0.034
6776,200.00,208.63,25.3,9.68,-8.63,-0.001,-0.017
6881,200.00,216.40,22.8,4.53,-16.40,-0.010,-0.033
6985,200.00,222.15,21.7,4.49,-22.15,-0.010,-0.044
7089,200.00,234.12,21.1,4.50,-34.12,-0.010,-0.050
7193,200.00,220.63,22.0,4.49,-20.63,-0.010,-0.041
7298,200.00,216.58,22.8,4.33,-16.58,-0.010,-0.033
7402,200.00,174.35,33.7,4.37,25.65,0.016,0.050
7506,200.00,189.02,32.1,14.98,10.98,0.028,0.022
7610,200.00,224.19,22.5,6.75,-24.19,0.003,-0.048
7714,200.00,210.81,24.1,3.62,-10.81,-0.008,-0.022
7819,200.00,138.44,35.1,4.51,61.56,0.030,0.050
7923,200.00,191.92,31.7,11.99,8.08,0.030,0.016
8027,200.00,235.31,21.5,5.70,-35.31,-0.006,-0.050
