t_ms,tgt_L,tgt_R,meas_L,meas_R,duty_L_pct,duty_R_pct,raw_L,raw_R
206,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
413,282.0,282.0,129.9,157.2,43.2,43.2,185.5,224.6
620,282.0,282.0,234.9,261.4,43.2,42.3,279.9,306.0
827,282.0,282.0,299.5,300.6,32.9,32.6,327.1,317.4
1033,282.0,282.0,288.1,274.7,34.6,38.5,283.2,263.7
1240,282.0,282.0,281.3,251.0,36.0,43.2,278.3,240.9
1446,282.0,282.0,272.4,294.1,38.8,34.6,268.6,312.5
1653,282.0,282.0,160.3,348.0,43.2,29.2,112.3,371.1
1859,282.0,282.0,144.3,537.3,43.2,29.2,0.0,618.5
2066,282.0,282.0,129.9,588.4,43.2,29.2,0.0,610.4
2273,282.0,282.0,116.9,620.9,43.2,29.2,0.0,634.8
2479,282.0,282.0,105.2,627.2,43.2,29.2,0.0,629.9
2686,282.0,282.0,94.7,540.2,43.2,29.2,0.0,502.9
2892,282.0,282.0,85.2,582.5,43.2,29.2,0.0,600.6
3099,282.0,282.0,76.7,414.0,43.2,29.2,0.0,341.8
3305,282.0,282.0,69.0,372.6,43.2,29.2,0.0,0.0
3512,282.0,282.0,62.1,335.3,43.2,29.2,0.0,0.0
3718,282.0,282.0,55.9,301.8,43.2,30.2,0.0,0.0
3924,282.0,282.0,50.3,271.6,43.2,37.3,0.0,0.0
4130,282.0,282.0,45.3,244.5,43.2,43.2,0.0,0.0
4337,282.0,282.0,40.8,220.0,43.2,43.2,0.0,0.0
4543,282.0,282.0,36.7,198.0,43.2,43.2,0.0,0.0
4749,282.0,282.0,33.0,178.2,43.2,43.2,0.0,0.0
4955,282.0,282.0,29.7,160.4,43.2,43.2,0.0,0.0
5162,282.0,282.0,26.7,144.4,43.2,43.2,0.0,0.0
5368,282.0,282.0,24.1,129.9,43.2,43.2,0.0,0.0
5574,282.0,282.0,21.7,116.9,43.2,43.2,0.0,0.0
5781,282.0,282.0,19.5,105.2,43.2,43.2,0.0,0.0
5987,282.0,282.0,17.5,94.7,43.2,43.2,0.0,0.0
6193,282.0,282.0,15.8,85.2,43.2,43.2,0.0,0.0
6400,282.0,282.0,14.2,76.7,43.2,43.2,0.0,0.0
6606,282.0,282.0,12.8,69.0,43.2,43.2,0.0,0.0
6812,282.0,282.0,11.5,62.1,43.2,43.2,0.0,0.0
7019,282.0,282.0,10.4,55.9,43.2,43.2,0.0,0.0
7225,282.0,282.0,9.3,50.3,43.2,43.2,0.0,0.0
7431,282.0,282.0,8.4,45.3,43.2,43.2,0.0,0.0
7638,282.0,282.0,7.6,40.8,43.2,43.2,0.0,0.0
7844,282.0,282.0,6.8,36.7,43.2,43.2,0.0,0.0
8050,282.0,282.0,6.1,33.0,43.2,43.2,0.0,0.0
8257,282.0,282.0,5.5,29.7,43.2,43.2,0.0,0.0
8463,282.0,282.0,5.0,26.7,43.2,43.2,0.0,0.0
8669,282.0,282.0,4.5,24.1,43.2,43.2,0.0,0.0
8876,282.0,282.0,4.0,21.7,43.2,43.2,0.0,0.0
9082,282.0,282.0,3.6,19.5,43.2,43.2,0.0,0.0
9288,282.0,282.0,3.3,17.5,43.2,43.2,0.0,0.0
9495,282.0,282.0,2.9,15.8,43.2,43.2,0.0,0.0
9701,282.0,282.0,2.6,14.2,43.2,43.2,0.0,0.0
9907,282.0,282.0,2.4,12.8,43.2,43.2,0.0,0.0
10114,282.0,282.0,2.1,11.5,43.2,43.2,0.0,0.0
10320,282.0,282.0,1.9,10.4,43.2,43.2,0.0,0.0
10526,282.0,282.0,1.7,9.3,43.2,43.2,0.0,0.0
10733,282.0,282.0,1.6,8.4,43.2,43.2,0.0,0.0
10939,282.0,282.0,1.4,7.6,43.2,43.2,0.0,0.0
11145,282.0,282.0,1.3,6.8,43.2,43.2,0.0,0.0
