t_ms,tgt_L,tgt_R,meas_L,meas_R,duty_L_pct,duty_R_pct,raw_L,raw_R
11352,282.0,282.0,1.1,6.1,43.2,43.2,0.0,0.0
11558,282.0,282.0,1.0,5.5,43.2,43.2,0.0,0.0
11764,282.0,282.0,0.9,5.0,43.2,43.2,0.0,0.0
11971,282.0,282.0,0.8,4.5,43.2,43.2,0.0,0.0
12177,282.0,282.0,0.7,4.0,43.2,43.2,0.0,0.0
12384,282.0,282.0,0.7,3.6,43.2,43.2,0.0,0.0
12590,282.0,282.0,0.6,3.3,43.2,43.2,0.0,0.0
12796,282.0,282.0,0.5,2.9,43.2,43.2,0.0,0.0
13003,282.0,282.0,0.5,2.6,43.2,43.2,0.0,0.0
13209,282.0,282.0,0.4,2.4,43.2,43.2,0.0,0.0
13416,282.0,282.0,0.4,2.1,43.2,43.2,0.0,0.0
13622,282.0,282.0,0.4,1.9,43.2,43.2,0.0,0.0
13828,282.0,282.0,0.3,1.7,43.2,43.2,0.0,0.0
14035,282.0,282.0,0.3,1.6,43.2,43.2,0.0,0.0
14241,282.0,282.0,0.3,1.4,43.2,43.2,0.0,0.0
14448,282.0,282.0,0.2,1.3,43.2,43.2,0.0,0.0
14654,282.0,282.0,0.2,1.1,43.2,43.2,0.0,0.0
14861,282.0,282.0,0.2,1.0,43.2,43.2,0.0,0.0
15067,282.0,282.0,0.2,0.9,43.2,43.2,0.0,0.0
15273,282.0,282.0,0.2,0.8,43.2,43.2,0.0,0.0
15480,282.0,282.0,0.1,0.7,43.2,43.2,0.0,0.0
15686,282.0,282.0,0.1,0.7,43.2,43.2,0.0,0.0
15893,282.0,282.0,0.1,0.6,43.2,43.2,0.0,0.0
16099,282.0,282.0,0.1,0.5,43.2,43.2,0.0,0.0
16306,282.0,282.0,0.1,0.5,43.2,43.2,0.0,0.0
16512,282.0,282.0,0.1,0.4,43.2,43.2,0.0,0.0
16719,282.0,282.0,0.1,0.4,43.2,43.2,0.0,0.0
16925,282.0,282.0,0.1,0.4,43.2,43.2,0.0,0.0
17132,282.0,282.0,0.1,0.3,43.2,43.2,0.0,0.0
17338,282.0,282.0,0.1,0.3,43.2,43.2,0.0,0.0
17545,282.0,282.0,0.0,0.3,43.2,43.2,0.0,0.0
17751,282.0,282.0,0.0,0.2,43.2,43.2,0.0,0.0
17958,282.0,282.0,0.0,0.2,43.2,43.2,0.0,0.0
18164,282.0,282.0,0.0,0.2,43.2,43.2,0.0,0.0
18371,282.0,282.0,0.0,0.2,43.2,43.2,0.0,0.0
18577,282.0,282.0,0.0,0.2,43.2,43.2,0.0,0.0
18784,282.0,282.0,0.0,0.1,43.2,43.2,0.0,0.0
18990,282.0,282.0,0.0,0.1,43.2,43.2,0.0,0.0
19197,282.0,282.0,0.0,0.1,43.2,43.2,0.0,0.0
19403,282.0,282.0,0.0,0.1,43.2,43.2,0.0,0.0
19610,282.0,282.0,0.0,0.1,43.2,43.2,0.0,0.0
19816,282.0,282.0,0.0,0.1,43.2,43.2,0.0,0.0
20023,282.0,282.0,0.0,0.1,43.2,43.2,0.0,0.0
20229,282.0,282.0,0.0,0.1,43.2,43.2,0.0,0.0
20436,282.0,282.0,0.0,0.1,43.2,43.2,0.0,0.0
20642,282.0,282.0,0.0,0.1,43.2,43.2,0.0,0.0
20849,282.0,282.0,0.0,0.0,43.2,43.2,0.0,0.0
21056,282.0,282.0,0.0,0.0,43.2,43.2,0.0,0.0
21263,282.0,282.0,0.0,0.0,43.2,43.2,0.0,0.0
21470,282.0,282.0,0.0,0.0,43.2,43.2,0.0,0.0
21677,282.0,282.0,0.0,0.0,43.2,43.2,0.0,0.0
21883,282.0,282.0,0.0,0.0,43.2,43.2,0.0,0.0
22090,282.0,282.0,0.0,0.0,43.2,43.2,0.0,0.0
22297,282.0,282.0,0.0,0.0,43.2,43.2,0.0,0.0
22504,282.0,282.0,0.0,0.0,43.2,43.2,0.0,0.0
22710,282.0,282.0,0.0,0.0,43.2,43.2,0.0,0.0
22917,282.0,282.0,0.0,0.0,43.2,43.2,0.0,0.0
23124,282.0,282.0,0.0,0.0,43.2,43.2,0.0,0.0
23331,282.0,282.0,0.0,0.0,43.2,43.2,0.0,0.0
23538,282.0,282.0,0.0,0.0,43.2,43.2,0.0,0.0
23744,282.0,282.0,0.0,0.0,43.2,43.2,0.0,0.0
23951,282.0,282.0,0.0,0.0,43.2,43.2,0.0,0.0
24158,282.0,282.0,0.0,0.0,43.2,43.2,0.0,0.0
